"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Wipro Ltd","WIPRO","507685","Technology","1683719169.84","1656631000","0.41","6671894","-1623238","-19.57","https://trendlyne.com/mutual-fund/holding-history/9386/1526/"
"Lodha Developers Ltd","LODHA","543287","Real Estate","1562431137","1599576000","0.4","1298779","","","https://trendlyne.com/mutual-fund/holding-history/9386/460813/"
"Bharat Electronics Ltd","BEL","500049","Industrials","1460626560.4","1487614000","0.37","3883096","","","https://trendlyne.com/mutual-fund/holding-history/9386/175/"
"Swiggy Ltd","SWIGGY","544285","Consumer Cyclical","1562536363.85","1483886000","0.37","3675259","3675259","New","https://trendlyne.com/mutual-fund/holding-history/9386/2755533/"
"Go Digit General Insurance Ltd","GODIGIT","544179","Financial Services","1326078487.8","1396259000","0.35","3773164","","","https://trendlyne.com/mutual-fund/holding-history/9386/2266638/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","1481241640","1361082000","0.34","271240","","","https://trendlyne.com/mutual-fund/holding-history/9386/1412/"
"Indian Energy Exchange Ltd","IEX","540750","Financial Services","1357484535.64","1285018000","0.32","9497548","-4747114","-33.33","https://trendlyne.com/mutual-fund/holding-history/9386/63143/"
"EPL Ltd Ordinary Shares","EPL","500135","Consumer Cyclical","1277978065.35","1272329000","0.32","5706533","","","https://trendlyne.com/mutual-fund/holding-history/9386/393/"
"Havells India Ltd","HAVELLS","517354","Industrials","1264327485.6","1195947000","0.3","796979","","","https://trendlyne.com/mutual-fund/holding-history/9386/525/"
"Kalpataru Projects International Ltd","KPIL","522287","Industrials","1282427995.5","1190789000","0.3","1037815","","","https://trendlyne.com/mutual-fund/holding-history/9386/712/"
"Titagarh Rail Systems Ltd","TITAGARH","532966","Industrials","1123973532","1132598000","0.28","1316745","","","https://trendlyne.com/mutual-fund/holding-history/9386/1434/"
"Biocon Ltd","BIOCON","532523","Healthcare","998796037.5","1112173000","0.28","2841525","-2129402","-42.84","https://trendlyne.com/mutual-fund/holding-history/9386/197/"
"Siemens Ltd","SIEMENS","500550","Industrials","1157864205.5","1104312000","0.28","364051","","","https://trendlyne.com/mutual-fund/holding-history/9386/1237/"
"ABB India Ltd","ABB","500002","Industrials","911850288.6","973870000","0.24","176746","","","https://trendlyne.com/mutual-fund/holding-history/9386/17/"
"Chemplast Sanmar Ltd","CHEMPLASTS","543336","Basic Materials","968825177.55","947682000","0.24","2273437","-267177","-10.52","https://trendlyne.com/mutual-fund/holding-history/9386/623875/"
"Sobha Ltd","SOBHA","532784","Real Estate","844740917","927476000","0.23","579781","","","https://trendlyne.com/mutual-fund/holding-history/9386/1261/"
"Restaurant Brands Asia Ltd Ordinary Shares","RBA","543248","Consumer Cyclical","893439068","874956000","0.22","10746200","","","https://trendlyne.com/mutual-fund/holding-history/9386/357598/"
"Gujarat State Petronet Ltd","GSPL","532702","Utilities","748671018.75","783464000","0.2","2485215","","","https://trendlyne.com/mutual-fund/holding-history/9386/502/"
"General Insurance Corp of India","GICRE","540755","Financial Services","468343942.2","494510000","0.12","1261023","","","https://trendlyne.com/mutual-fund/holding-history/9386/63527/"
"National Securities Depository Ltd","","544467","Financial Services","565433950.5","349992000","0.09","437490","437490","New","https://trendlyne.com/mutual-fund/holding-history/9386/3196098/"
"Cipla Ltd","CIPLA","500087","Healthcare","288074842.2","282407000","0.07","181659","","","https://trendlyne.com/mutual-fund/holding-history/9386/268/"
