"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"JSW Steel Ltd","JSWSTEEL","500228","Basic Materials","568690000","555599000","2.11","530000","","","https://trendlyne.com/mutual-fund/holding-history/14412/699/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","559115000","529099000","2.01","3350000","","","https://trendlyne.com/mutual-fund/holding-history/14412/1366/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","504997500","510143000","1.94","5250000","","","https://trendlyne.com/mutual-fund/holding-history/14412/878/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","457278898","472835000","1.8","797765","","","https://trendlyne.com/mutual-fund/holding-history/14412/71/"
"Hyundai Motor India Ltd","HYUNDAI","544274","Consumer Cyclical","534834532.4","457361000","1.74","212548","","","https://trendlyne.com/mutual-fund/holding-history/14412/2710663/"
"Tech Mahindra Ltd","TECHM","532755","Technology","450840000","439110000","1.67","300000","100000","50","https://trendlyne.com/mutual-fund/holding-history/14412/1374/"
"NTPC Ltd","NTPC","532555","Utilities","436783500","436196000","1.66","1305000","-200000","-13.29","https://trendlyne.com/mutual-fund/holding-history/14412/959/"
"Shree Cement Ltd","SHREECEM","500387","Basic Materials","421860720","431525000","1.64","14006","","","https://trendlyne.com/mutual-fund/holding-history/14412/1226/"
"Power Grid Corp Of India Ltd","POWERGRID","532898","Utilities","381533237.95","388000000","1.47","1333333","","","https://trendlyne.com/mutual-fund/holding-history/14412/1057/"
"Adani Energy Solutions Ltd","ADANIENSOL","539254","Utilities","349830355.5","370403000","1.41","458193","","","https://trendlyne.com/mutual-fund/holding-history/14412/1759/"
"SBI Cards and Payment Services Ltd Ordinary Shares","SBICARD","543066","Financial Services","336917119.35","342841000","1.3","424623","","","https://trendlyne.com/mutual-fund/holding-history/14412/188792/"
"Hero MotoCorp Ltd","HEROMOTOCO","500182","Consumer Cyclical","424562340","340281000","1.29","79865","","","https://trendlyne.com/mutual-fund/holding-history/14412/540/"
"Adani Ports & Special Economic Zone Ltd","ADANIPORTS","532921","Industrials","327320000","336410000","1.28","245000","","","https://trendlyne.com/mutual-fund/holding-history/14412/27/"
"Divi's Laboratories Ltd","DIVISLAB","532488","Healthcare","306925000","329775000","1.25","50000","-10000","-16.67","https://trendlyne.com/mutual-fund/holding-history/14412/336/"
"Westlife Foodworld Ltd","WESTLIFE","505533","Consumer Cyclical","335151473.1","329626000","1.25","452938","","","https://trendlyne.com/mutual-fund/holding-history/14412/2228/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","298737000","324273000","1.23","190000","-100000","-34.48","https://trendlyne.com/mutual-fund/holding-history/14412/1316/"
"Havells India Ltd","HAVELLS","517354","Industrials","291118623.6","277737000","1.06","185084","","","https://trendlyne.com/mutual-fund/holding-history/14412/525/"
"Granules India Ltd","GRANULES","532482","Healthcare","276297732","253186000","0.96","533136","","","https://trendlyne.com/mutual-fund/holding-history/14412/488/"
"Whirlpool of India Ltd","WHIRLPOOL","500238","Consumer Cyclical","249888804","247515000","0.94","185460","","","https://trendlyne.com/mutual-fund/holding-history/14412/1521/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","238018100","245277000","0.93","209800","9800","4.9","https://trendlyne.com/mutual-fund/holding-history/14412/184/"
"Cyient Ltd","CYIENT","532175","Industrials","240300000","241120000","0.92","200000","","","https://trendlyne.com/mutual-fund/holding-history/14412/301/"
"Bharat Heavy Electricals Ltd","BHEL","500103","Industrials","215000000","238450000","0.91","1000000","","","https://trendlyne.com/mutual-fund/holding-history/14412/189/"
"Honeywell Automation India Ltd","HONAUT","517174","Industrials","165532500","174465000","0.66","4500","","","https://trendlyne.com/mutual-fund/holding-history/14412/569/"
"Siemens Ltd","SIEMENS","500550","Industrials","184952840.8","174457000","0.66","57512","","","https://trendlyne.com/mutual-fund/holding-history/14412/1237/"
"Grasim Industries Ltd","GRASIM","500300","Basic Materials","11735717","11598000","0.04","4223","","","https://trendlyne.com/mutual-fund/holding-history/14412/490/"
