"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","3268969640.5","3332975000","0.75","589907","","","https://trendlyne.com/mutual-fund/holding-history/8906/94155/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","3111961237.6","3301629000","0.75","1713352","-14386","-0.83","https://trendlyne.com/mutual-fund/holding-history/8906/61147/"
"Shree Cement Ltd","SHREECEM","500387","Basic Materials","3135669530","3212836000","0.73","104279","15303","17.2","https://trendlyne.com/mutual-fund/holding-history/8906/1226/"
"Siemens Ltd","SIEMENS","500550","Industrials","3343042613.7","3194653000","0.72","1053159","","","https://trendlyne.com/mutual-fund/holding-history/8906/1237/"
"Havells India Ltd","HAVELLS","517354","Industrials","3175094840","3000345000","0.68","1999430","1999430","New","https://trendlyne.com/mutual-fund/holding-history/8906/525/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","2887800000","2886400000","0.65","2000000","500000","33.33","https://trendlyne.com/mutual-fund/holding-history/8906/262/"
"Cipla Ltd","CIPLA","500087","Healthcare","2845255992","2788222000","0.63","1793530","1793530","New","https://trendlyne.com/mutual-fund/holding-history/8906/268/"
"Gillette India Ltd","GILLETTE","507815","Consumer Defensive","2266200608","2403539000","0.54","221872","-709","-0.32","https://trendlyne.com/mutual-fund/holding-history/8906/456/"
"HDB Financial Services Ltd","HDBFS","544429","Financial Services","2459854728.8","2393436000","0.54","3155278","3155278","New","https://trendlyne.com/mutual-fund/holding-history/8906/3147463/"
"Swiggy Ltd","SWIGGY","544285","Consumer Cyclical","2425509021.6","2305318000","0.52","5709767","","","https://trendlyne.com/mutual-fund/holding-history/8906/2755533/"
"One97 Communications Ltd","PAYTM","543396","Technology","2478800000","2178700000","0.49","2000000","-200000","-9.09","https://trendlyne.com/mutual-fund/holding-history/8906/712312/"
"Coal India Ltd","COALINDIA","533278","Energy","2207490244.3","2167464000","0.49","5759171","-1289784","-18.3","https://trendlyne.com/mutual-fund/holding-history/8906/275/"
"Devyani International Ltd","DEVYANI","543330","Consumer Cyclical","2323536924.74","2163929000","0.49","13267498","2143479","19.27","https://trendlyne.com/mutual-fund/holding-history/8906/616664/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","2146664830.5","2159873000","0.49","1091617","1091617","New","https://trendlyne.com/mutual-fund/holding-history/8906/758/"
"Godrej Consumer Products Ltd","GODREJCP","532424","Consumer Defensive","1922250000","1888500000","0.43","1500000","200000","15.38","https://trendlyne.com/mutual-fund/holding-history/8906/476/"
"Tech Mahindra Ltd","TECHM","532755","Technology","1887864608","1826229000","0.41","1247680","","","https://trendlyne.com/mutual-fund/holding-history/8906/1374/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","1806705784.8","1708292000","0.39","2500977","","","https://trendlyne.com/mutual-fund/holding-history/8906/549/"
"Bank of Baroda","BANKBARODA","532134","Financial Services","1664996927.11","1668223000","0.38","7013171","","","https://trendlyne.com/mutual-fund/holding-history/8906/162/"
"Honeywell Automation India Ltd","HONAUT","517174","Industrials","1516504150","1552545000","0.35","40045","","","https://trendlyne.com/mutual-fund/holding-history/8906/569/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","1480420761.3","1540743000","0.35","3758367","","","https://trendlyne.com/mutual-fund/holding-history/8906/1026/"
"Linde India Ltd","LINDEINDIA","523457","Basic Materials","1385718685","1422729000","0.32","216434","","","https://trendlyne.com/mutual-fund/holding-history/8906/791/"
"Gland Pharma Ltd","GLAND","543245","Healthcare","1276209072.6","1395792000","0.32","675994","-200000","-22.83","https://trendlyne.com/mutual-fund/holding-history/8906/338662/"
"Colgate-Palmolive (India) Ltd","COLPAL","500830","Consumer Defensive","1450634955","1348700000","0.31","600677","","","https://trendlyne.com/mutual-fund/holding-history/8906/276/"
"Grasim Industries Ltd","GRASIM","500300","Basic Materials","1131008260.8","1105882000","0.25","402666","","","https://trendlyne.com/mutual-fund/holding-history/8906/490/"
"PVR INOX Ltd","PVRINOX","532689","Communication Services","1072717125","955459000","0.22","955650","","","https://trendlyne.com/mutual-fund/holding-history/8906/1087/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","943055125.5","936133000","0.21","516601","","","https://trendlyne.com/mutual-fund/holding-history/8906/710819/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","896767309.3","919739000","0.21","786707","","","https://trendlyne.com/mutual-fund/holding-history/8906/184/"
"United Breweries Ltd","UBL","532478","Consumer Defensive","782196754.3","832108000","0.19","427687","452","0.11","https://trendlyne.com/mutual-fund/holding-history/8906/1437/"
