"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"AU Small Finance Bank Ltd","AUBANK","540611","Financial Services","2618014700","2537978000","1.65","3740021","-681802","-15.42","/mutual-fund/holding-history/156995/54902/"
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","2905395400","2531397000","1.64","728900","137146","23.18","/mutual-fund/holding-history/156995/406/"
"AWL Agri Business Ltd","AWL","543458","Consumer Defensive","2466028195.2","2460960000","1.6","9215352","426941","4.86","/mutual-fund/holding-history/156995/755501/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","2678950870","2438877000","1.58","557534","-240111","-30.1","/mutual-fund/holding-history/156995/94155/"
"KPIT Technologies Ltd","KPITTECH","542651","Technology","2570095151.4","2422824000","1.57","1932693","357864","22.72","/mutual-fund/holding-history/156995/141324/"
"SRF Ltd","SRF","503806","Industrials","2318373632.1","2421885000","1.57","804907","","","/mutual-fund/holding-history/156995/1283/"
"Bharat Heavy Electricals Ltd","BHEL","500103","Industrials","2710817639.53","2363539000","1.53","10419409","","","/mutual-fund/holding-history/156995/189/"
"Supreme Industries Ltd","SUPREMEIND","509930","Industrials","2736392584","2305517000","1.5","651460","651460","New","/mutual-fund/holding-history/156995/1324/"
"Suzlon Energy Ltd","SUZLON","532667","Industrials","2589008437.21","2233064000","1.45","39593339","8269364","26.4","/mutual-fund/holding-history/156995/1337/"
"Go Digit General Insurance Ltd","GODIGIT","544179","Financial Services","2560730805.5","2211505000","1.43","7743365","-257209","-3.21","/mutual-fund/holding-history/156995/2266638/"
