"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Abbott India Ltd","ABBOTINDIA","500488","Healthcare","1892922030","1998036000","1.69","58074","-647","-1.1","https://trendlyne.com/mutual-fund/holding-history/10643/18/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","1878875383.2","1953849000","1.65","1057449","","","https://trendlyne.com/mutual-fund/holding-history/10643/2170198/"
"Biocon Ltd","BIOCON","532523","Healthcare","1795816106.45","1952722000","1.65","4989071","","","https://trendlyne.com/mutual-fund/holding-history/10643/197/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","2142497840","1932072000","1.63","1111600","-330500","-22.92","https://trendlyne.com/mutual-fund/holding-history/10643/209/"
"Transformers & Rectifiers (India) Ltd","TARIL","532928","Industrials","1836669140.8","1890667000","1.6","3698488","","","https://trendlyne.com/mutual-fund/holding-history/10643/1417/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","1962988950","1884858000","1.59","318900","318900","New","https://trendlyne.com/mutual-fund/holding-history/10643/1784/"
"KEI Industries Ltd","KEI","517569","Industrials","1921146000","1855595000","1.57","482700","-65000","-11.87","https://trendlyne.com/mutual-fund/holding-history/10643/729/"
"Safari Industries (India) Ltd","SAFARI","523025","Consumer Cyclical","1629530500","1696814000","1.43","808700","","","https://trendlyne.com/mutual-fund/holding-history/10643/2912/"
"IIFL Finance Ltd","IIFL","532636","Financial Services","1669711634","1692553000","1.43","3541276","2059176","138.94","https://trendlyne.com/mutual-fund/holding-history/10643/598/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","1634885973","1657153000","1.4","8186300","","","https://trendlyne.com/mutual-fund/holding-history/10643/412/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","1655184050","1637935000","1.38","289900","196300","209.72","https://trendlyne.com/mutual-fund/holding-history/10643/94155/"
"Aditya Birla Capital Ltd","ABCAPITAL","540691","Financial Services","1796732860","1626853000","1.37","6338800","","","https://trendlyne.com/mutual-fund/holding-history/10643/61684/"
"Bharat Electronics Ltd","BEL","500049","Industrials","1556564100","1603657000","1.35","4186000","","","https://trendlyne.com/mutual-fund/holding-history/10643/175/"
"Anthem Biosciences Ltd","ANTHEM","544449","Healthcare","1775598190.5","1602979000","1.35","2111545","2111545","New","https://trendlyne.com/mutual-fund/holding-history/10643/3161384/"
"CRISIL Ltd","CRISIL","500092","Financial Services","1561632615","1549654000","1.31","292167","120519","70.21","https://trendlyne.com/mutual-fund/holding-history/10643/292/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","1583923666.5","1528583000","1.29","558999","","","https://trendlyne.com/mutual-fund/holding-history/10643/1090/"
"NTPC Green Energy Ltd","NTPCGREEN","544289","Utilities","1536038202","1522749000","1.29","14603900","6289500","75.65","https://trendlyne.com/mutual-fund/holding-history/10643/2789016/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","1356114500","1346033000","1.14","1527500","312500","25.72","https://trendlyne.com/mutual-fund/holding-history/10643/150/"
"Polycab India Ltd","POLYCAB","542652","Industrials","1332103800","1269388000","1.07","186100","176713","1882.53","https://trendlyne.com/mutual-fund/holding-history/10643/139599/"
"Global Health Ltd","MEDANTA","543654","Healthcare","1311610716","1248029000","1.05","951822","462382","94.47","https://trendlyne.com/mutual-fund/holding-history/10643/1108489/"
"Hindustan Aeronautics Ltd Ordinary Shares","HAL","541154","Industrials","1110844240","1127128000","0.95","248600","","","https://trendlyne.com/mutual-fund/holding-history/10643/80502/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","1213025100","1071433000","0.9","160900","-29000","-15.27","https://trendlyne.com/mutual-fund/holding-history/10643/683/"
"Divi's Laboratories Ltd","DIVISLAB","532488","Healthcare","821484000","902264000","0.76","136800","","","https://trendlyne.com/mutual-fund/holding-history/10643/336/"
"TVS Motor Co Ltd","TVSMOTOR","532343","Consumer Cyclical","991548600","860153000","0.73","307000","-84900","-21.66","https://trendlyne.com/mutual-fund/holding-history/10643/1430/"
"PG Electroplast Ltd","PGEL","533581","Technology","530465052.2","802370000","0.68","988567","","","https://trendlyne.com/mutual-fund/holding-history/10643/1031/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","857086181","788714000","0.67","157177","-524523","-76.94","https://trendlyne.com/mutual-fund/holding-history/10643/1412/"
"HDB Financial Services Ltd","HDBFS","544429","Financial Services","750391140.75","722118000","0.61","951971","951971","New","https://trendlyne.com/mutual-fund/holding-history/10643/3147463/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","582550000","542214000","0.46","152500","152200","50733.33","https://trendlyne.com/mutual-fund/holding-history/10643/297/"
