"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","1932024000","1893156000","1.48","11850000","","","/mutual-fund/holding-history/6421/1366/"
"Abbott India Ltd","ABBOTINDIA","500488","Healthcare","1785135520","1865683680","1.46","52304","","","/mutual-fund/holding-history/6421/18/"
"Oberoi Realty Ltd","OBEROIRLTY","533273","Real Estate","1777139137","1854406056","1.45","973135","","","/mutual-fund/holding-history/6421/962/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","1575649288.5","1827553298","1.43","293937","","","/mutual-fund/holding-history/6421/1412/"
"Mahindra & Mahindra Financial Services Ltd","M&MFIN","532720","Financial Services","1786937997.8","1816546460","1.42","6729196","747688","12.5","/mutual-fund/holding-history/6421/808/"
"Phoenix Mills Ltd","PHOENIXLTD","503100","Real Estate","1668297926.4","1768038051","1.38","1132124","","","/mutual-fund/holding-history/6421/1036/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","1667955000","1734170000","1.36","850000","","","/mutual-fund/holding-history/6421/61147/"
"Ramco Cements Ltd","RAMCOCEM","500260","Basic Materials","1906777460","1722829517","1.35","1602334","","","/mutual-fund/holding-history/6421/1103/"
"SRF Ltd","SRF","503806","Industrials","1662345000","1718313000","1.34","530000","","","/mutual-fund/holding-history/6421/1283/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","1703276843.4","1712285315","1.34","2252118","","","/mutual-fund/holding-history/6421/606/"
"Tube Investments of India Ltd Ordinary Shares","TIINDIA","540762","Industrials","1595759136.5","1682052943","1.32","541027","","","/mutual-fund/holding-history/6421/67548/"
"United Breweries Ltd","UBL","532478","Consumer Defensive","1686694908.6","1616519519","1.26","828517","","","/mutual-fund/holding-history/6421/1437/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","1528309828.5","1616046877","1.26","267491","-10487","-3.77","/mutual-fund/holding-history/6421/1023/"
"Equitas Small Finance Bank Ltd Ordinary Shares","EQUITASBNK","543243","Financial Services","1479431472.7","1582477624","1.24","23580355","","","/mutual-fund/holding-history/6421/325199/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","1521241086.6","1553161109","1.21","1400001","","","/mutual-fund/holding-history/6421/4826/"
"PI Industries Ltd","PIIND","523642","Basic Materials","1529738880","1538999799","1.2","374936","","","/mutual-fund/holding-history/6421/1038/"
"UPL Ltd","UPL","512070","Basic Materials","1662555000","1520875000","1.19","2300000","","","/mutual-fund/holding-history/6421/1455/"
"Alkem Laboratories Ltd","ALKEM","539523","Healthcare","1491540000","1481700000","1.16","300000","","","/mutual-fund/holding-history/6421/1878/"
"Endurance Technologies Ltd","ENDURANCE","540153","Consumer Cyclical","1355088000","1434911800","1.12","518000","-182000","-26","/mutual-fund/holding-history/6421/4797/"
"Aster DM Healthcare Ltd Ordinary Shares","ASTERDM","540975","Healthcare","1440590697","1434693542","1.12","2407002","","","/mutual-fund/holding-history/6421/77534/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","1394965918.75","1423563939","1.11","3249775","","","/mutual-fund/holding-history/6421/556/"
"Bharat Electronics Ltd","BEL","500049","Industrials","1357540025","1419506625","1.11","3367750","","","/mutual-fund/holding-history/6421/175/"
