"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","5437376062.2","4720983860","1.64","1359378","42073","3.19","/mutual-fund/holding-history/11349/406/"
"UNO Minda Ltd","UNOMINDA","532539","Consumer Cyclical","5305532877","4692589020","1.63","5247807","132320","2.59","/mutual-fund/holding-history/11349/864/"
"Alkem Laboratories Ltd","ALKEM","539523","Healthcare","4689083964","4558980150","1.58","891122","","","/mutual-fund/holding-history/11349/1878/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","4772189571","4491304250","1.56","520158","","","/mutual-fund/holding-history/11349/150/"
"BSE Ltd","BSE","","Financial Services","1669205316","4412586410","1.53","693912","142542","25.85","/mutual-fund/holding-history/11349/52884/"
"Phoenix Mills Ltd","PHOENIXLTD","503100","Real Estate","4038783136.1","4165409590","1.45","2502499","","","/mutual-fund/holding-history/11349/1036/"
"Coforge Ltd","COFORGE","532541","Technology","4802268997","4146149990","1.44","567577","76374","15.55","/mutual-fund/holding-history/11349/942/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","4412592990","4097690710","1.42","792207","42448","5.66","/mutual-fund/holding-history/11349/1412/"
"Torrent Power Ltd","TORNTPOWER","532779","Utilities","3626776395","3913054010","1.36","2542430","94009","3.84","/mutual-fund/holding-history/11349/1410/"
"Supreme Industries Ltd","SUPREMEIND","509930","Industrials","4314613347","3624357140","1.26","1024119","","","/mutual-fund/holding-history/11349/1324/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","3508664326.2","3575545020","1.24","1905433","","","/mutual-fund/holding-history/11349/61147/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","3757184492.5","3551266200","1.23","29973550","4493550","17.64","/mutual-fund/holding-history/11349/2839786/"
"CG Power & Industrial Solutions Ltd","CGPOWER","500093","Industrials","3889379926.8","3504691400","1.22","5591403","168257","3.1","/mutual-fund/holding-history/11349/293/"
