"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","172165820.4","168254000","0.25","52857","","","/mutual-fund/holding-history/7923/807/"
"UPL Ltd Ordinary Shares (Partly Paid Rs.1)","UPLPP1","890209","Basic Materials","164725438.5","141850000","0.21","329385","","","/mutual-fund/holding-history/7923/2889731/"
"Honeywell Automation India Ltd","HONAUT","517174","Industrials","137007350","132626000","0.19","3370","","","/mutual-fund/holding-history/7923/569/"
"SKF India Ltd","SKFINDIA","500472","Industrials","123940084","120385000","0.18","24998","","","/mutual-fund/holding-history/7923/1251/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","118960000","119530000","0.18","20000","20000","New","/mutual-fund/holding-history/7923/1784/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","126273057.5","117226000","0.17","22579","","","/mutual-fund/holding-history/7923/94155/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","115997796.6","111725000","0.16","47319","","","/mutual-fund/holding-history/7923/67/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","99251570","94052000","0.14","15293","-68317","-81.71","/mutual-fund/holding-history/7923/683/"
"Carborundum Universal Ltd","CARBORUNIV","513375","Industrials","89360058.25","88056000","0.13","91207","","","/mutual-fund/holding-history/7923/238/"
"Chemplast Sanmar Ltd","CHEMPLASTS","543336","Basic Materials","86956722.5","82192000","0.12","187205","","","/mutual-fund/holding-history/7923/623875/"
"Rainbow Childrens Medicare Ltd","RAINBOW","543524","Healthcare","76045000","78100000","0.11","50000","50000","New","/mutual-fund/holding-history/7923/877862/"
"Coromandel International Ltd","COROMANDEL","506395","Basic Materials","70613583.6","75146000","0.11","29996","","","/mutual-fund/holding-history/7923/284/"
"Torrent Power Ltd","TORNTPOWER","532779","Utilities","67140000","73380000","0.11","50000","","","/mutual-fund/holding-history/7923/1410/"
"SBI Cards and Payment Services Ltd Ordinary Shares","SBICARD","543066","Financial Services","54527079.8","57960000","0.08","60812","60812","New","/mutual-fund/holding-history/7923/188792/"
"Hindustan Zinc Ltd","HINDZINC","500188","Basic Materials","56899788.8","57882000","0.08","128384","","","/mutual-fund/holding-history/7923/561/"
"Phoenix Mills Ltd","PHOENIXLTD","503100","Real Estate","41369846.4","43843000","0.06","28074","-500848","-94.69","/mutual-fund/holding-history/7923/1036/"
"Godrej Industries Ltd","GODREJIND","500164","Industrials","38062744","41449000","0.06","33260","","","/mutual-fund/holding-history/7923/477/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","38119656.3","33811000","0.05","13827","","","/mutual-fund/holding-history/7923/153/"
"Vardhman Textiles Ltd","VTL","502986","Consumer Cyclical","32480355.6","33553000","0.05","67032","","","/mutual-fund/holding-history/7923/1504/"
"Gujarat Gas Ltd","GUJGASLTD","539336","Utilities","25783870","25948000","0.04","54650","","","/mutual-fund/holding-history/7923/515/"
"Tech Mahindra Ltd","TECHM","532755","Technology","23783558.4","25933000","0.04","15372","","","/mutual-fund/holding-history/7923/1374/"
"Camlin Fine Sciences Ltd","CAMLINFINE","532834","Basic Materials","24056620.5","25897000","0.04","82527","","","/mutual-fund/holding-history/7923/1559/"
"Hexaware Technologies Ltd Ordinary Shares","HEXT","544362","Technology","21395171.9","21163000","0.03","24881","","","/mutual-fund/holding-history/7923/2974675/"
"Astec Lifesciences Ltd","ASTEC","533138","Basic Materials","14452896.8","14650000","0.02","15844","","","/mutual-fund/holding-history/7923/121/"
"AstraZeneca Pharma India Ltd","ASTRAZEN","506820","Healthcare","5457030","5399000","0.01","606","606","New","/mutual-fund/holding-history/7923/124/"
"CRISIL Ltd","CRISIL","500092","Financial Services","5004025","5232000","0.01","865","","","/mutual-fund/holding-history/7923/292/"
"Endurance Technologies Ltd","ENDURANCE","540153","Consumer Cyclical","4918080","5208000","0.01","1880","","","/mutual-fund/holding-history/7923/4797/"
"Nuvoco Vista Corp Ltd","NUVOCO","543334","Basic Materials","2586906.1","2263000","0","6389","-450246","-98.6","/mutual-fund/holding-history/7923/622855/"
