"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Cipla Ltd","CIPLA","500087","Healthcare","4100286726.6","4020629000","1.33","2586279","-370000","-12.52","https://trendlyne.com/mutual-fund/holding-history/8177/268/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","4120275714","3947228000","1.31","322249","","","https://trendlyne.com/mutual-fund/holding-history/8177/1443/"
"Godrej Consumer Products Ltd","GODREJCP","532424","Consumer Defensive","3828670543.8","3773521000","1.25","2997237","","","https://trendlyne.com/mutual-fund/holding-history/8177/476/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","3795565364.7","3494484000","1.16","1043971","16271","1.58","https://trendlyne.com/mutual-fund/holding-history/8177/1403/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","3653480124.85","3438999000","1.14","5034769","","","https://trendlyne.com/mutual-fund/holding-history/8177/549/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","3455104029.6","3396805000","1.12","1245711","","","https://trendlyne.com/mutual-fund/holding-history/8177/67/"
"Apollo Hospitals Enterprise Ltd","APOLLOHOSP","508869","Healthcare","3401064960","3320467000","1.1","442847","","","https://trendlyne.com/mutual-fund/holding-history/8177/93/"
"Tech Mahindra Ltd","TECHM","532755","Technology","3235710008.3","3122229000","1.03","2133107","","","https://trendlyne.com/mutual-fund/holding-history/8177/1374/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","3184397716.55","3071705000","1.02","9509923","","","https://trendlyne.com/mutual-fund/holding-history/8177/2020/"
"Bajaj Finserv Ltd","BAJAJFINSV","532978","Financial Services","2739416550","2736607000","0.91","1404829","136000","10.72","https://trendlyne.com/mutual-fund/holding-history/8177/147/"
"Akzo Nobel India Ltd","AKZOINDIA","500710","Basic Materials","2414810000","2663551000","0.88","706250","-11853","-1.65","https://trendlyne.com/mutual-fund/holding-history/8177/52/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","2630700372.8","2626878000","0.87","1820176","","","https://trendlyne.com/mutual-fund/holding-history/8177/262/"
"DLF Ltd","DLF","532868","Real Estate","2449119164.7","2514363000","0.83","3206073","","","https://trendlyne.com/mutual-fund/holding-history/8177/337/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","1980879950.5","2477544000","0.82","2512213","100000","4.15","https://trendlyne.com/mutual-fund/holding-history/8177/4826/"
"Bajaj Auto Ltd","BAJAJ-AUTO","532977","Consumer Cyclical","2779110420","2451409000","0.81","306120","24969","8.88","https://trendlyne.com/mutual-fund/holding-history/8177/144/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","2553008968.8","2447403000","0.81","3239448","","","https://trendlyne.com/mutual-fund/holding-history/8177/65394/"
"Whirlpool of India Ltd","WHIRLPOOL","500238","Consumer Cyclical","2058088016","2060558000","0.68","1543952","","","https://trendlyne.com/mutual-fund/holding-history/8177/1521/"
"Bayer CropScience Ltd","BAYERCROP","506285","Basic Materials","1694575372.5","2034359000","0.67","321765","","","https://trendlyne.com/mutual-fund/holding-history/8177/169/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","2100736034.8","2024729000","0.67","666731","","","https://trendlyne.com/mutual-fund/holding-history/8177/1372/"
