"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HCL Technologies Ltd","HCLTECH","532281","Technology","33372510","33248000","0.73","22650","-14000","-38.2","https://trendlyne.com/mutual-fund/holding-history/134712/531/"
"Shriram Finance Ltd","SHRIRAMFIN","511218","Financial Services","29552500","31543000","0.7","50000","-36100","-41.93","https://trendlyne.com/mutual-fund/holding-history/134712/1288/"
"United Spirits Ltd","UNITDSPR","532432","Consumer Defensive","30351113","30378000","0.67","22667","","","https://trendlyne.com/mutual-fund/holding-history/134712/851/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","30794400","28444000","0.63","8000","","","https://trendlyne.com/mutual-fund/holding-history/134712/297/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","27141000","27611000","0.61","15000","","","https://trendlyne.com/mutual-fund/holding-history/134712/60957/"
"Siemens Energy India Ltd","ENRIN","544390","Utilities","28480000","25903000","0.57","8000","","","https://trendlyne.com/mutual-fund/holding-history/134712/3145560/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","25033500","25425000","0.56","4500","4500","New","https://trendlyne.com/mutual-fund/holding-history/134712/94155/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","27305000","25090000","0.55","5000","5000","New","https://trendlyne.com/mutual-fund/holding-history/134712/1412/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","21670500","21648000","0.48","15000","15000","New","https://trendlyne.com/mutual-fund/holding-history/134712/262/"
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","18900000","20095000","0.44","1000","1000","New","https://trendlyne.com/mutual-fund/holding-history/134712/202203/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","19024250","18062000","0.4","3500","3500","New","https://trendlyne.com/mutual-fund/holding-history/134712/1023/"
