"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","62902808.1","62602000","0.48","396363","","","https://trendlyne.com/mutual-fund/holding-history/10206/1366/"
"Indus Towers Ltd Ordinary Shares","INDUSTOWER","534816","Communication Services","55242369","60219000","0.47","165893","","","https://trendlyne.com/mutual-fund/holding-history/10206/629/"
"Cipla Ltd","CIPLA","500087","Healthcare","60796400.4","59600000","0.46","38338","","","https://trendlyne.com/mutual-fund/holding-history/10206/268/"
"Abbott India Ltd","ABBOTINDIA","500488","Healthcare","55085645","58867000","0.46","1711","","","https://trendlyne.com/mutual-fund/holding-history/10206/18/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","57521420","58421000","0.45","10340","","","https://trendlyne.com/mutual-fund/holding-history/10206/94155/"
"Coal India Ltd","COALINDIA","533278","Energy","58083102","56882000","0.44","151140","","","https://trendlyne.com/mutual-fund/holding-history/10206/275/"
"Zydus Lifesciences Ltd","ZYDUSLIFE","532321","Healthcare","55546085","53630000","0.42","55300","","","https://trendlyne.com/mutual-fund/holding-history/10206/229/"
"Solar Industries India Ltd","SOLARINDS","532725","Basic Materials","52811228","53595000","0.41","3769","","","https://trendlyne.com/mutual-fund/holding-history/10206/1263/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","51079362","51963000","0.4","28230","","","https://trendlyne.com/mutual-fund/holding-history/10206/60957/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","49128769","51761000","0.4","26861","","","https://trendlyne.com/mutual-fund/holding-history/10206/61147/"
"Eicher Motors Ltd","EICHERMOT","505200","Consumer Cyclical","60010265","51639000","0.4","9443","","","https://trendlyne.com/mutual-fund/holding-history/10206/360/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","51493371.3","51557000","0.4","530586","","","https://trendlyne.com/mutual-fund/holding-history/10206/878/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","43158283","39657000","0.31","7903","","","https://trendlyne.com/mutual-fund/holding-history/10206/1412/"
"Kross Ltd","KROSS","544253","Consumer Cyclical","41618169.6","36571000","0.28","208320","","","https://trendlyne.com/mutual-fund/holding-history/10206/2613902/"
"FSN E-Commerce Ventures Ltd","NYKAA","543384","Consumer Cyclical","682422.31","610000","0","2909","","","https://trendlyne.com/mutual-fund/holding-history/10206/705188/"
"Hero MotoCorp Ltd","HEROMOTOCO","500182","Consumer Cyclical","367597.5","294000","0","69","-22200","-99.69","https://trendlyne.com/mutual-fund/holding-history/10206/540/"
"Page Industries Ltd","PAGEIND","532827","Consumer Cyclical","178400","195000","0","4","","","https://trendlyne.com/mutual-fund/holding-history/10206/994/"
