"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Gateway Distriparks Ltd","GATEWAY","543489","Industrials","739973050.72","756950000","0.88","11470672","","","/mutual-fund/holding-history/9129/852172/"
"Asian Paints Ltd","ASIANPAINT","500820","Basic Materials","755232012","747537000","0.87","319310","154310","93.52","/mutual-fund/holding-history/9129/117/"
"Indian Energy Exchange Ltd","IEX","540750","Financial Services","728275976.88","730356000","0.85","3782073","604000","19.01","/mutual-fund/holding-history/9129/63143/"
"Cyient Ltd","CYIENT","532175","Industrials","719862763.2","729716000","0.85","566286","","","/mutual-fund/holding-history/9129/301/"
"Nuvoco Vista Corp Ltd","NUVOCO","543334","Basic Materials","825194702.9","721867000","0.84","2038021","","","/mutual-fund/holding-history/9129/622855/"
"CMS Info Systems Ltd","CMSINFO","543441","Industrials","723170000","700700000","0.82","1400000","","","/mutual-fund/holding-history/9129/755507/"
"CESC Ltd","CESC","500084","Utilities","721504192.77","696444000","0.81","4054989","","","/mutual-fund/holding-history/9129/256/"
"Andhra Paper Ltd","ANDHRAPAP","502330","Basic Materials","665365202.28","693324000","0.81","8550054","","","/mutual-fund/holding-history/9129/641/"
"Computer Age Management Services Ltd Ordinary Shares","CAMS","543232","Technology","656782430","663385000","0.77","154628","","","/mutual-fund/holding-history/9129/297909/"
"KSB Ltd","KSB","500249","Industrials","690457500","650350000","0.76","795000","129317","19.43","/mutual-fund/holding-history/9129/768/"
"ICRA Ltd","ICRA","532835","Financial Services","632482292","631642000","0.74","93314","","","/mutual-fund/holding-history/9129/586/"
"PNC Infratech Ltd","PNCINFRA","539150","Industrials","632451323","620587000","0.72","2010974","","","/mutual-fund/holding-history/9129/1717/"
"Graphite India Ltd","GRAPHITE","509488","Industrials","604476275.7","608290000","0.71","1074338","-208914","-16.28","/mutual-fund/holding-history/9129/489/"
"Kansai Nerolac Paints Ltd","KANSAINER","500165","Basic Materials","587280170.1","601107000","0.7","2383926","","","/mutual-fund/holding-history/9129/718/"
"Sagar Cements Ltd","SAGCEM","502090","Basic Materials","624524425.5","578528000","0.68","2418294","","","/mutual-fund/holding-history/9129/1163/"
"DCM Shriram Ltd","DCMSHRIRAM","523367","Industrials","642843081.6","566717000","0.66","459699","3310","0.73","/mutual-fund/holding-history/9129/313/"
"G R Infraprojects Ltd","GRINFRA","543317","Industrials","543868304.6","565128000","0.66","428614","","","/mutual-fund/holding-history/9129/577216/"
"Oil India Ltd","OIL","533106","Energy","586755000","564525000","0.66","1300000","84538","6.96","/mutual-fund/holding-history/9129/965/"
"GHCL Ltd","GHCL","500171","Basic Materials","522495376.55","533190000","0.62","869449","","","/mutual-fund/holding-history/9129/453/"
"CIE Automotive India Ltd","CIEINDIA","532756","Consumer Cyclical","506496582.35","530627000","0.62","1197533","","","/mutual-fund/holding-history/9129/816/"
"DLF Ltd","DLF","532868","Real Estate","507300000","502680000","0.59","600000","-500000","-45.45","/mutual-fund/holding-history/9129/337/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","551380000","489060000","0.57","200000","95000","90.48","/mutual-fund/holding-history/9129/153/"
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","512814979.6","484798000","0.57","119783","-32733","-21.46","/mutual-fund/holding-history/9129/406/"
"Tamil Nadu Newsprint & Papers Ltd","TNPL","531426","Basic Materials","485389269.72","481541000","0.56","2871786","","","/mutual-fund/holding-history/9129/1405/"
