"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"PDS Ltd","PDSL","538730","Industrials","579920820.3","530527150","0.23","1399254","","","/mutual-fund/holding-history/17696/1555/"
"TeamLease Services Ltd","TEAMLEASE","539658","Industrials","531735189","512542300","0.22","271086","","","/mutual-fund/holding-history/17696/1955/"
"JM Financial Ltd","JMFINANCIL","523405","Financial Services","581401370","483897500","0.21","4765585","","","/mutual-fund/holding-history/17696/689/"
"Strides Pharma Science Ltd","STAR","532531","Healthcare","525104003.2","477694700","0.2","735028","","","/mutual-fund/holding-history/17696/1291/"
"Aether Industries Ltd","AETHER","543534","Basic Materials","439440271.2","471493770","0.2","585452","","","/mutual-fund/holding-history/17696/903803/"
"Jupiter Life Line Hospitals Ltd","JLHL","543980","Healthcare","442756104","453130310","0.19","308756","-51039","-14.19","/mutual-fund/holding-history/17696/1665481/"
"Container Corporation of India Ltd","CONCOR","531344","Industrials","517295013.9","453011380","0.19","672423","","","/mutual-fund/holding-history/17696/279/"
"Aditya Birla Real Estate Ltd","ABREL","500040","Basic Materials","514435634.3","444164250","0.19","231613","","","/mutual-fund/holding-history/17696/253/"
"Sharda Motor Industries Ltd","SHARDAMOTR","535602","Consumer Cyclical","497065933","439127000","0.19","258310","","","/mutual-fund/holding-history/17696/1769/"
"MTAR Technologies Ltd","MTARTECH","543270","Industrials","465486551.4","401990540","0.17","282833","","","/mutual-fund/holding-history/17696/436155/"
"Jubilant Ingrevia Ltd Ordinary Shares","JUBLINGREA","543271","Basic Materials","418719609","396180280","0.17","616671","","","/mutual-fund/holding-history/17696/450809/"
"Engineers India Ltd","ENGINERSIN","532178","Industrials","413060301.87","363710500","0.16","2035883","79936","4.09","/mutual-fund/holding-history/17696/380/"
"Aarti Industries Ltd","AARTIIND","524208","Basic Materials","372914725.05","330681670","0.14","785001","","","/mutual-fund/holding-history/17696/14/"
"Ajax Engineering Ltd","AJAXENGG","544356","Industrials","349166459.2","325129730","0.14","507104","","","/mutual-fund/holding-history/17696/2972769/"
"EPL Ltd Ordinary Shares","EPL","500135","Consumer Cyclical","379190230","300242510","0.13","1586570","","","/mutual-fund/holding-history/17696/393/"
"Suprajit Engineering Ltd","SUPRAJIT","532509","Consumer Cyclical","322154514","284584610","0.12","739565","","","/mutual-fund/holding-history/17696/1323/"
"Prudent Corporate Advisory Services Ltd","PRUDENT","543527","Financial Services","332562500","276912500","0.12","125000","125000","New","/mutual-fund/holding-history/17696/888523/"
"Electronics Mart India Ltd","EMIL","543626","Consumer Cyclical","243005040","270470430","0.12","2021000","","","/mutual-fund/holding-history/17696/1063762/"
"Happy Forgings Ltd","HAPPYFORGE","544057","Industrials","249754130.75","211943460","0.09","275287","","","/mutual-fund/holding-history/17696/1833301/"
"Hexaware Technologies Ltd Ordinary Shares","HEXT","544362","Technology","245955000","209850000","0.09","300000","300000","New","/mutual-fund/holding-history/17696/2974675/"
"Jyoti CNC Automation Ltd","JYOTICNC","544081","Industrials","115485550.2","100130260","0.04","93006","93006","New","/mutual-fund/holding-history/17696/1873481/"
"Ceigall India Ltd","CEIGALL","544223","Industrials","29796288","30405350","0.01","119424","-560137","-82.43","/mutual-fund/holding-history/17696/2484735/"
"Mankind Pharma Ltd","MANKIND","543904","Healthcare","23680004.4","23812330","0.01","9659","","","/mutual-fund/holding-history/17696/1436676/"
