"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Ajax Engineering Ltd","AJAXENGG","544356","Industrials","307076827.2","331088200","0.13","507104","","","/mutual-fund/holding-history/17696/2972769/"
"Suprajit Engineering Ltd","SUPRAJIT","532509","Consumer Cyclical","336908835.75","309618890","0.12","739565","","","/mutual-fund/holding-history/17696/1323/"
"Happy Forgings Ltd","HAPPYFORGE","544057","Industrials","272905767.45","267785430","0.11","275287","","","/mutual-fund/holding-history/17696/1833301/"
"Hexaware Technologies Ltd Ordinary Shares","HEXT","544362","Technology","250635000","257250000","0.1","300000","","","/mutual-fund/holding-history/17696/2974675/"
"Electronics Mart India Ltd","EMIL","543626","Consumer Cyclical","265276460","243045460","0.1","2021000","","","/mutual-fund/holding-history/17696/1063762/"
"MAS Financial Services Ltd Ordinary Shares","MASFIN","540749","Financial Services","200256432.7","202734680","0.08","688403","-2960359","-81.13","/mutual-fund/holding-history/17696/62997/"
"Jupiter Life Line Hospitals Ltd","JLHL","543980","Healthcare","191420572.4","184809420","0.07","126167","-182589","-59.14","/mutual-fund/holding-history/17696/1665481/"
"Jyoti CNC Automation Ltd","JYOTICNC","544081","Industrials","105682717.8","120498570","0.05","93006","","","/mutual-fund/holding-history/17696/1873481/"
"Mahindra Lifespace Developers Ltd - Rights","","","","","57945580","0.02","644556","644556","New",""
"Mankind Pharma Ltd","MANKIND","543904","Healthcare","22891830","23835510","0.01","9659","","","/mutual-fund/holding-history/17696/1436676/"
"Ceigall India Ltd","CEIGALL","544223","Industrials","7255102.92","7331100","0","29342","-90082","-75.43","/mutual-fund/holding-history/17696/2484735/"
