"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"TTK Prestige Ltd","TTKPRESTIG","517506","Consumer Cyclical","519373357.2","487731707","0.39","804108","","","/mutual-fund/holding-history/8298/1421/"
"Kajaria Ceramics Ltd","KAJARIACER","500233","Industrials","607552062","478347655","0.38","594590","594590","New","/mutual-fund/holding-history/8298/709/"
"Indoco Remedies Ltd","INDOCO","532612","Healthcare","502569631.12","471091931","0.38","2025592","","","/mutual-fund/holding-history/8298/614/"
"Shivalik Bimetal Controls Ltd","SBCL","513097","Industrials","507089157.75","451610974","0.36","1031193","","","/mutual-fund/holding-history/8298/2607/"
"S.P. Apparels Ltd","SPAL","540048","Consumer Cyclical","533697120","447779970","0.36","612600","","","/mutual-fund/holding-history/8298/4656/"
"Devyani International Ltd","DEVYANI","543330","Consumer Cyclical","429925000","446625000","0.36","2500000","","","/mutual-fund/holding-history/8298/616664/"
"Stanley Lifestyles Ltd","STANLEY","544202","Consumer Cyclical","449487943.65","394828349","0.32","1292189","","","/mutual-fund/holding-history/8298/2350518/"
"Rolex Rings Ltd","ROLEXRINGS","543325","Industrials","465120000","385980000","0.31","300000","","","/mutual-fund/holding-history/8298/612873/"
"MTAR Technologies Ltd","MTARTECH","543270","Industrials","342895415.4","295475478","0.24","207891","-56450","-21.35","/mutual-fund/holding-history/8298/436155/"
"Pitti Engineering Ltd","PITTIENG","513519","Industrials","239794566","224277680","0.18","237080","","","/mutual-fund/holding-history/8298/1045/"
"Nuvoco Vista Corp Ltd","NUVOCO","543334","Basic Materials","243302219.8","218554400","0.17","684587","-1143334","-62.55","/mutual-fund/holding-history/8298/622855/"
"Music Broadcast Limited","","","","","206811558","0.17","1892146","","",""
"Techno Electric & Engineering Co Ltd","TECHNOE","542141","Industrials","131982618.9","112227964","0.09","105527","-339647","-76.3","/mutual-fund/holding-history/8298/118204/"
"Tracxn Technologies Ltd","TRACXN","543638","Technology","113900000","108680000","0.09","2000000","","","/mutual-fund/holding-history/8298/758704/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","67649090.4","74408330","0.06","43608","-330508","-88.34","/mutual-fund/holding-history/8298/209/"
"Nesco Ltd","NESCO","505355","Industrials","57632834.95","57425731","0.05","60913","-335956","-84.65","/mutual-fund/holding-history/8298/929/"
