"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Triveni Turbine Ltd","TRITURBINE","533655","Industrials","1078873887","1043594000","1.53","1795430","","","/mutual-fund/holding-history/137666/1418/"
"Go Digit General Insurance Ltd","GODIGIT","544179","Financial Services","1005902529.6","1011915000","1.48","2933088","1445430","97.16","/mutual-fund/holding-history/137666/2266638/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","989007220.4","1002107000","1.47","693116","-197832","-22.2","/mutual-fund/holding-history/137666/584/"
"Safari Industries (India) Ltd","SAFARI","523025","Consumer Cyclical","919173552","993991000","1.46","430728","","","/mutual-fund/holding-history/137666/2912/"
"Ethos Ltd","ETHOSLTD","543532","Consumer Cyclical","1026660686.4","984342000","1.44","345456","3245","0.95","/mutual-fund/holding-history/137666/877860/"
"Cohance Lifesciences Ltd","COHANCE","543064","Healthcare","933353510","984272000","1.44","939460","","","/mutual-fund/holding-history/137666/191143/"
"Apar Industries Ltd","APARINDS","532259","Industrials","911529903","956008000","1.4","117822","","","/mutual-fund/holding-history/137666/88/"
"KEI Industries Ltd","KEI","517569","Industrials","942622567.2","923439000","1.35","255786","","","/mutual-fund/holding-history/137666/729/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","879023291.7","910145000","1.33","497157","","","/mutual-fund/holding-history/137666/2170198/"
"Schloss Bangalore Ltd","THELEELA","544408","Consumer Cyclical","822703625.1","894578000","1.31","2056502","2056502","New","/mutual-fund/holding-history/137666/3110331/"
