"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","4031903407.6","3803115000","0.57","28385690","","","/mutual-fund/holding-history/10906/2839786/"
"Birla Corp Ltd","BIRLACORPN","500335","Basic Materials","4121931116.8","3775437000","0.57","2812453","","","/mutual-fund/holding-history/10906/198/"
"MAS Financial Services Ltd Ordinary Shares","MASFIN","540749","Financial Services","3987495406","3677689000","0.55","11938609","","","/mutual-fund/holding-history/10906/62997/"
"Cyient Ltd","CYIENT","532175","Industrials","3624169589.6","3673777000","0.55","2850983","","","/mutual-fund/holding-history/10906/301/"
"Genus Power Infrastructures Ltd","GENUSPOWER","530343","Industrials","3546365728.8","3575136000","0.54","9589956","","","/mutual-fund/holding-history/10906/449/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","3524546880","3541435000","0.53","592560","","","/mutual-fund/holding-history/10906/1784/"
"Jyothy Labs Ltd","JYOTHYLAB","532926","Consumer Defensive","3466984311","3532293000","0.53","10204516","","","/mutual-fund/holding-history/10906/706/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","3334105539.5","3524654000","0.53","9924410","","","/mutual-fund/holding-history/10906/2020/"
"Bayer CropScience Ltd","BAYERCROP","506285","Basic Materials","3516439389","3524278000","0.53","559898","","","/mutual-fund/holding-history/10906/169/"
"Krishna Institute of Medical Sciences Ltd","KIMS","543308","Healthcare","3849643750","3452200000","0.52","5125000","","","/mutual-fund/holding-history/10906/555690/"
"RBL Bank Ltd","RBLBANK","540065","Financial Services","3530512609.8","3433779000","0.52","13819135","","","/mutual-fund/holding-history/10906/4685/"
"Galaxy Surfactants Ltd","GALAXYSURF","540935","Basic Materials","3312449158.7","3377503000","0.51","1290749","","","/mutual-fund/holding-history/10906/74800/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","3142584978","3322994000","0.5","550028","","","/mutual-fund/holding-history/10906/1023/"
"Voltas Ltd","VOLTAS","500575","Consumer Cyclical","3389419655.6","3281300000","0.49","2496994","","","/mutual-fund/holding-history/10906/1500/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","3532754045.6","3275237000","0.49","2002468","","","/mutual-fund/holding-history/10906/209/"
"Gland Pharma Ltd","GLAND","543245","Healthcare","3492731827.8","3264488000","0.49","1780371","","","/mutual-fund/holding-history/10906/338662/"
"Kirloskar Oil Engines Ltd","KIRLOSENG","533293","Industrials","3434924138.8","3217359000","0.48","3780458","","","/mutual-fund/holding-history/10906/745/"
"Styrenix Performance Materials Ltd","STYRENIX","506222","Basic Materials","3137937738.6","3206262000","0.48","995981","","","/mutual-fund/holding-history/10906/1300/"
"Avalon Technologies Ltd","AVALON","543896","Technology","3231586811.7","3195779000","0.48","3789162","","","/mutual-fund/holding-history/10906/1416031/"
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","3197239020","3180073000","0.48","158948","","","/mutual-fund/holding-history/10906/202203/"
"Carborundum Universal Ltd","CARBORUNIV","513375","Industrials","3199453964.5","3152756000","0.47","3265582","","","/mutual-fund/holding-history/10906/238/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","3076304132.7","3124859000","0.47","7707138","","","/mutual-fund/holding-history/10906/1364/"
"Sapphire Foods India Ltd","SAPPHIRE","543397","Consumer Cyclical","3112792477","3051994000","0.46","9282220","","","/mutual-fund/holding-history/10906/716755/"
"Indigo Paints Ltd Ordinary Shares","INDIGOPNTS","543258","Basic Materials","3120260000","3021720000","0.45","2600000","","","/mutual-fund/holding-history/10906/402502/"
"Bharat Dynamics Ltd Ordinary Shares","BDL","541143","Industrials","2621607665.2","2966291000","0.45","1526498","","","/mutual-fund/holding-history/10906/80210/"
"Lumax Auto Technologies Ltd","LUMAXTECH","532796","Consumer Cyclical","2853750000","2940250000","0.44","2500000","","","/mutual-fund/holding-history/10906/803/"
"Finolex Cables Ltd","FINCABLES","500144","Industrials","2689111428.4","2858968000","0.43","2918506","","","/mutual-fund/holding-history/10906/416/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","1724781664.32","2746277000","0.41","17737368","","","/mutual-fund/holding-history/10906/878/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","2703184098.6","2717481000","0.41","3574222","","","/mutual-fund/holding-history/10906/606/"
"Kaynes Technology India Ltd","KAYNES","543664","Industrials","2534816126","2671573000","0.4","438322","","","/mutual-fund/holding-history/10906/1124672/"
"JTEKT India Ltd","JTEKTINDIA","520057","Consumer Cyclical","2629767410.27","2670878000","0.4","18352763","3923631","27.19","/mutual-fund/holding-history/10906/1266/"
"Linde India Ltd","LINDEINDIA","523457","Basic Materials","2643200000","2662200000","0.4","400000","","","/mutual-fund/holding-history/10906/791/"
"CARE Ratings Ltd","CARERATING","534804","Financial Services","2687225311.2","2640853000","0.4","1476822","","","/mutual-fund/holding-history/10906/240/"
"Honda India Power Products Ltd","HONDAPOWER","522064","Industrials","2669337482","2638738000","0.4","894730","","","/mutual-fund/holding-history/10906/570/"
"PG Electroplast Ltd","PGEL","533581","Technology","2722872572","2604659000","0.39","3451480","","","/mutual-fund/holding-history/10906/1031/"
"RITES Ltd Ordinary Shares","RITES","541556","Industrials","2526780000","2576000000","0.39","9200000","","","/mutual-fund/holding-history/10906/92280/"
"Praj Industries Ltd","PRAJIND","522205","Industrials","2492015449.2","2570570000","0.39","5051724","","","/mutual-fund/holding-history/10906/1061/"
"Gujarat Fluorochemicals Ltd Ordinary Shares","FLUOROCHEM","542812","Basic Materials","2480622573","2533158000","0.38","697686","","","/mutual-fund/holding-history/10906/169265/"
"Craftsman Automation Ltd","CRAFTSMAN","543276","Consumer Cyclical","2976472331","2529241000","0.38","454042","38000","9.13","/mutual-fund/holding-history/10906/445359/"
"Century Plyboards (India) Ltd","CENTURYPLY","532548","Basic Materials","2389048934.4","2488593000","0.37","3274464","","","/mutual-fund/holding-history/10906/252/"
"Kajaria Ceramics Ltd","KAJARIACER","500233","Industrials","2803159078.4","2440573000","0.37","2257699","","","/mutual-fund/holding-history/10906/709/"
"Rategain Travel Technologies Ltd","RATEGAIN","543417","Technology","2447378365.5","2431435000","0.37","5314611","","","/mutual-fund/holding-history/10906/747240/"
"H.G. Infra Engineering Ltd Ordinary Shares","HGINFRA","541019","Industrials","2390566393.9","2387687000","0.36","2214923","","","/mutual-fund/holding-history/10906/78664/"
"AAVAS Financiers Ltd","AAVAS","541988","Financial Services","2119438459.7","2330859000","0.35","1113911","","","/mutual-fund/holding-history/10906/106807/"
"Aarti Industries Ltd","AARTIIND","524208","Basic Materials","2035867710.25","2307830000","0.35","4813495","","","/mutual-fund/holding-history/10906/14/"
"Grindwell Norton Ltd","GRINDWELL","506076","Industrials","2364957873.6","2305494000","0.35","1333272","","","/mutual-fund/holding-history/10906/496/"
"Chambal Fertilisers & Chemicals Ltd","CHAMBLFERT","500085","Basic Materials","2232700596","2293773000","0.34","4057980","","","/mutual-fund/holding-history/10906/258/"
"Astra Microwave Products Ltd","ASTRAMICRO","532493","Technology","2174700000","2283160000","0.34","2200000","","","/mutual-fund/holding-history/10906/123/"
"City Union Bank Ltd","CUB","532210","Financial Services","2166171584.4","2241924000","0.34","10250670","","","/mutual-fund/holding-history/10906/295/"
"Orient Electric Ltd Ordinary Shares","ORIENTELEC","541301","Consumer Cyclical","2197521912.96","2234826000","0.34","9974228","","","/mutual-fund/holding-history/10906/94299/"
"CIE Automotive India Ltd","CIEINDIA","532756","Consumer Cyclical","2100701292.8","2200782000","0.33","4966784","","","/mutual-fund/holding-history/10906/816/"
"Deepak Nitrite Ltd","DEEPAKNTR","506401","Basic Materials","2101321278","2165959000","0.33","1090010","","","/mutual-fund/holding-history/10906/318/"
"Aditya Birla Sun Life AMC Ltd","ABSLAMC","543374","Financial Services","2422980000","2159595000","0.32","2700000","","","/mutual-fund/holding-history/10906/674158/"
"Bajaj Electricals Ltd","BAJAJELEC","500031","Consumer Cyclical","2027524024.4","2135134000","0.32","3101138","39067","1.28","/mutual-fund/holding-history/10906/146/"
"Allied Blenders and Distillers Ltd","ABDL","544203","Consumer Defensive","2381685019.2","2127668000","0.32","4937158","","","/mutual-fund/holding-history/10906/2365668/"
"Zensar Technologies Ltd","ZENSARTECH","504067","Technology","2025494825.2","2103514000","0.32","2496604","","","/mutual-fund/holding-history/10906/1544/"
"TTK Prestige Ltd","TTKPRESTIG","517506","Consumer Cyclical","2136548247.5","2095600000","0.31","3356450","","","/mutual-fund/holding-history/10906/1421/"
"FDC Ltd","FDC","531599","Healthcare","2097049855.5","2084224000","0.31","4275331","2363","0.06","/mutual-fund/holding-history/10906/410/"
