"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Amber Enterprises India Ltd Ordinary Shares","AMBER","540902","Consumer Cyclical","3136240592","2982869000","1.88","484586","","","/mutual-fund/holding-history/7995/73518/"
"Sansera Engineering Ltd","SANSERA","543358","Consumer Cyclical","3454165608","2943373000","1.85","2715539","","","/mutual-fund/holding-history/7995/658068/"
"Medplus Health Services Ltd","MEDPLUS","543427","Healthcare","3396819931.25","2884747000","1.82","3578425","","","/mutual-fund/holding-history/7995/752902/"
"Solar Industries India Ltd","SOLARINDS","532725","Basic Materials","3475381350","2880914000","1.82","218715","","","/mutual-fund/holding-history/7995/1263/"
"V-Mart Retail Ltd","VMART","534976","Consumer Cyclical","3007925934.5","2863030000","1.8","876563","","","/mutual-fund/holding-history/7995/1498/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","2867993585","2799219000","1.76","1657225","-142775","-7.93","/mutual-fund/holding-history/7995/2170198/"
"Carborundum Universal Ltd","CARBORUNIV","513375","Industrials","2721283536.4","2785038000","1.76","2724553","","","/mutual-fund/holding-history/7995/238/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","2512079039.4","2763076000","1.74","1619338","","","/mutual-fund/holding-history/7995/209/"
"Blue Dart Express Ltd","BLUEDART","526612","Industrials","3028326562.5","2757389000","1.74","444525","","","/mutual-fund/holding-history/7995/208/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","2671978428","2581448000","1.63","504909","","","/mutual-fund/holding-history/7995/683/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","2427410386","2490201000","1.57","592919","","","/mutual-fund/holding-history/7995/53208/"
"Great Eastern Shipping Co Ltd","GESHIP","500620","Industrials","2664424594.1","2481197000","1.56","2851787","","","/mutual-fund/holding-history/7995/452/"
"Balrampur Chini Mills Ltd","BALRAMCHIN","500038","Consumer Defensive","2429839605.15","2398278000","1.51","4353381","","","/mutual-fund/holding-history/7995/157/"
"BEML Ltd","BEML","500048","Industrials","3158234876.4","2309052000","1.46","729789","","","/mutual-fund/holding-history/7995/176/"
"Shoppers Stop Ltd","SHOPERSTOP","532638","Consumer Cyclical","2212457890.5","2182916000","1.38","4281486","","","/mutual-fund/holding-history/7995/1225/"
"J.B. Chemicals & Pharmaceuticals Ltd","JBCHEPHARM","506943","Healthcare","2188770074.4","2089999000","1.32","1296204","65435","5.32","/mutual-fund/holding-history/7995/665/"
"Exide Industries Ltd","EXIDEIND","500086","Consumer Cyclical","2211784502.4","2019718000","1.27","5741912","","","/mutual-fund/holding-history/7995/404/"
"Minda Corp Ltd","MINDACORP","538962","Consumer Cyclical","2236274640.6","1975907000","1.25","4061892","","","/mutual-fund/holding-history/7995/863/"
"Mankind Pharma Ltd","MANKIND","543904","Healthcare","1953333456","1961689000","1.24","795720","","","/mutual-fund/holding-history/7995/1436676/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","1841000000","1876500000","1.18","1000000","","","/mutual-fund/holding-history/7995/61147/"
"Metropolis Healthcare Ltd","METROPOLIS","542650","Healthcare","1813175707.2","1847598000","1.16","1085864","","","/mutual-fund/holding-history/7995/139598/"
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","2035908598.9","1770238000","1.12","509729","","","/mutual-fund/holding-history/7995/406/"
