"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Arvind Ltd","ARVIND","500101","Consumer Cyclical","309271700.8","309783000","1.35","851519","26876","3.26","/mutual-fund/holding-history/182450/105/"
"Welspun Corp Ltd","WELCORP","532144","Basic Materials","314200737","307784000","1.34","401022","-23777","-5.6","/mutual-fund/holding-history/182450/1514/"
"Gulf Oil Lubricants India Ltd","GULFOILLUB","538567","Basic Materials","301135691.4","303714000","1.32","255243","","","/mutual-fund/holding-history/182450/518/"
"Exide Industries Ltd","EXIDEIND","500086","Consumer Cyclical","331617139.2","302820000","1.32","860896","86230","11.13","/mutual-fund/holding-history/182450/404/"
"Bharat Dynamics Ltd Ordinary Shares","BDL","541143","Industrials","382421390.3","298430000","1.3","195103","904","0.47","/mutual-fund/holding-history/182450/80210/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","332931762","298343000","1.3","199935","","","/mutual-fund/holding-history/182450/262/"
"J.B. Chemicals & Pharmaceuticals Ltd","JBCHEPHARM","506943","Healthcare","312272798","298181000","1.3","184930","","","/mutual-fund/holding-history/182450/665/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","305528484.8","296603000","1.29","293608","13546","4.84","/mutual-fund/holding-history/182450/4826/"
"Paradeep Phosphates Ltd","PARADEEP","543530","Basic Materials","328707806.7","296012000","1.29","2055066","-127819","-5.86","/mutual-fund/holding-history/182450/895889/"
"Sumitomo Chemical India Ltd Ordinary Shares","SUMICHEM","542920","Basic Materials","287507848.8","290593000","1.27","571359","","","/mutual-fund/holding-history/182450/182906/"
