"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Juniper Hotels Ltd","JUNIPER","544129","Consumer Cyclical","734086761.2","711754000","0.61","2314271","29572","1.29","/mutual-fund/holding-history/189266/2049000/"
"NCC Ltd","NCC","500294","Industrials","705094977.7","710907000","0.61","3074989","","","/mutual-fund/holding-history/189266/918/"
"Senco Gold Ltd","SENCO","543936","Consumer Cyclical","644910154.5","683094000","0.58","1792662","52300","3.01","/mutual-fund/holding-history/189266/1525832/"
"Eris Lifesciences Ltd Registered Shs","ERIS","540596","Healthcare","789860339.1","676193000","0.58","427483","","","/mutual-fund/holding-history/189266/54899/"
"Nuvama Wealth Management Ltd","NUVAMA","543988","Financial Services","659145894","671513000","0.57","93337","511","0.55","/mutual-fund/holding-history/189266/1715909/"
"Bank of Baroda","BANKBARODA","532134","Financial Services","634490637.38","658038000","0.56","2636899","","","/mutual-fund/holding-history/189266/162/"
"Fedbank Financial Services Ltd","FEDFINA","544027","Financial Services","760373673.95","649443000","0.55","6614821","592321","9.84","/mutual-fund/holding-history/189266/1785397/"
"Birlasoft Ltd","BSOFT","532400","Technology","673826525.3","639042000","0.54","1595611","73797","4.85","/mutual-fund/holding-history/189266/763/"
"S H Kelkar & Co Ltd","SHK","539450","Basic Materials","632836345.95","633434000","0.54","2599451","","","/mutual-fund/holding-history/189266/1788/"
"Neuland Laboratories Ltd","NEULANDLAB","524558","Healthcare","684741184","613823000","0.52","53362","1600","3.09","/mutual-fund/holding-history/189266/933/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","616337507","596621000","0.51","235558","-7354","-3.03","/mutual-fund/holding-history/189266/1090/"
"Stove Kraft Ltd Ordinary Shares","STOVEKRAFT","543260","Consumer Cyclical","640206304.8","595990000","0.51","1091757","42589","4.06","/mutual-fund/holding-history/189266/409322/"
"Computer Age Management Services Ltd Ordinary Shares","CAMS","543232","Technology","590028306.1","567424000","0.48","143249","","","/mutual-fund/holding-history/189266/297909/"
"Spicejet Ltd","","500285","Industrials","538499806.5","565142000","0.48","12567090","","","/mutual-fund/holding-history/189266/2064/"
"Aditya Birla Real Estate Ltd","ABREL","500040","Basic Materials","647210700.7","563428000","0.48","258667","","","/mutual-fund/holding-history/189266/253/"
"Power Mech Projects Ltd","POWERMECH","539302","Industrials","556987060.5","556826000","0.47","179205","","","/mutual-fund/holding-history/189266/1766/"
"Tilaknagar Industries Ltd","TI","507205","Consumer Defensive","570866704.5","552066000","0.47","1486245","-27431","-1.81","/mutual-fund/holding-history/189266/1391/"
"Sansera Engineering Ltd","SANSERA","543358","Consumer Cyclical","529422196.6","546657000","0.47","401747","","","/mutual-fund/holding-history/189266/658068/"
"P N Gadgil Jewellers Ltd","PNGJL","544256","Consumer Cyclical","574309300","537557000","0.46","980050","38202","4.06","/mutual-fund/holding-history/189266/2618334/"
"EFC (I) Ltd","","512008","Real Estate","528628660","521466000","0.44","1557080","-10000","-0.64","/mutual-fund/holding-history/189266/2513/"
"Aster DM Healthcare Ltd Ordinary Shares","ASTERDM","540975","Healthcare","543533079.5","518812000","0.44","927610","-229667","-19.85","/mutual-fund/holding-history/189266/77534/"
"Updater Services Ltd","UDS","543996","Industrials","470004705.75","513397000","0.44","1572185","10000","0.64","/mutual-fund/holding-history/189266/1712499/"
"Punjab National Bank","PNB","532461","Financial Services","507651574.23","503040000","0.43","4753737","","","/mutual-fund/holding-history/189266/1048/"
"Baazar Style Retail Ltd","STYLEBAAZA","544243","Consumer Cyclical","495652864","502913000","0.43","1936144","60000","3.2","/mutual-fund/holding-history/189266/2586584/"
"Kewal Kiran Clothing Ltd","KKCL","532732","Consumer Cyclical","572272966.4","490382000","0.42","1131869","24436","2.21","/mutual-fund/holding-history/189266/749/"
"Ethos Ltd","ETHOSLTD","543532","Consumer Cyclical","501065311.9","480412000","0.41","168601","","","/mutual-fund/holding-history/189266/877860/"
"Sunteck Realty Ltd","SUNTECK","512179","Real Estate","514655732.7","479341000","0.41","1154066","31000","2.76","/mutual-fund/holding-history/189266/1317/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","545944642.5","460470000","0.39","69747","-13810","-16.53","/mutual-fund/holding-history/189266/853/"
"Epigral Ltd","EPIGRAL","543332","Basic Materials","465569521.5","456391000","0.39","256385","","","/mutual-fund/holding-history/189266/634820/"
"DCB Bank Ltd","DCBBANK","532772","Financial Services","438862048.2","451169000","0.38","3069180","1149372","59.87","/mutual-fund/holding-history/189266/311/"
"Hi-Tech Pipes Ltd","HITECH","543411","Basic Materials","475121212.69","448854000","0.38","4707433","55000","1.18","/mutual-fund/holding-history/189266/87816/"
"Vishnu Chemicals Ltd","VISHNU","516072","Basic Materials","467122096.8","446746000","0.38","819944","-70939","-7.96","/mutual-fund/holding-history/189266/1579/"
"NLC India Ltd","NLCINDIA","513683","Utilities","420766696.22","440274000","0.37","1821422","","","/mutual-fund/holding-history/189266/935/"
"CESC Ltd","CESC","500084","Utilities","454492312.65","439735000","0.37","2707729","","","/mutual-fund/holding-history/189266/256/"
"Archean Chemical Industries Ltd","ACI","543657","Basic Materials","444983617.05","439473000","0.37","702033","16000","2.33","/mutual-fund/holding-history/189266/1121044/"
"KFin Technologies Ltd","KFINTECH","543720","Technology","491924475","433175000","0.37","401571","168000","71.93","/mutual-fund/holding-history/189266/1253626/"
"Triveni Engineering & Industries Ltd","TRIVENI","532356","Consumer Defensive","403340925.6","427799000","0.36","976376","","","/mutual-fund/holding-history/189266/1419/"
"Akums Drugs and Pharmaceuticals Ltd","AKUMS","544222","Healthcare","428489423.6","426029000","0.36","745588","","","/mutual-fund/holding-history/189266/2471889/"
"Sagility India Ltd","SAGILITY","544282","Healthcare","430476900","425738000","0.36","10770000","10770000","New","/mutual-fund/holding-history/189266/2757688/"
"Mastek Ltd","MASTEK","523704","Technology","451333027.2","420380000","0.36","180591","21764","13.7","/mutual-fund/holding-history/189266/843/"
"Sapphire Foods India Ltd","SAPPHIRE","543397","Consumer Cyclical","405233728.6","405808000","0.35","1275724","","","/mutual-fund/holding-history/189266/716755/"
"Bombay Burmah Trading Corp Ltd","BBTC","501425","Consumer Defensive","386877390.2","397640000","0.34","196754","10000","5.35","/mutual-fund/holding-history/189266/171/"
"Arvind SmartSpaces Ltd","ARVSMART","539301","Real Estate","407023116.5","392275000","0.33","584090","84944","17.02","/mutual-fund/holding-history/189266/1760/"
"Lumax Auto Technologies Ltd","LUMAXTECH","532796","Consumer Cyclical","486835507.6","388640000","0.33","478886","-55000","-10.3","/mutual-fund/holding-history/189266/803/"
"OneSource Specialty Pharma Ltd","","530805","Healthcare","451113.75","385351000","0.33","200495","-1048","-0.52","/mutual-fund/holding-history/189266/82741/"
"Electronics Mart India Ltd","EMIL","543626","Consumer Cyclical","417794673.3","382782000","0.33","3182955","60000","1.92","/mutual-fund/holding-history/189266/1063762/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","404677300.05","382465000","0.33","1604907","-180000","-10.08","/mutual-fund/holding-history/189266/589490/"
"Medplus Health Services Ltd","MEDPLUS","543427","Healthcare","350014639.2","381432000","0.32","394694","-43328","-9.89","/mutual-fund/holding-history/189266/752902/"
"Jubilant Ingrevia Ltd Ordinary Shares","JUBLINGREA","543271","Basic Materials","414908291.55","376016000","0.32","535331","14957","2.87","/mutual-fund/holding-history/189266/450809/"
"Godrej Industries Ltd","GODREJIND","500164","Industrials","406664863.2","369687000","0.31","312051","","","/mutual-fund/holding-history/189266/477/"
"Eureka Forbes Ltd","","543482","Consumer Cyclical","339069042.9","369013000","0.31","574742","","","/mutual-fund/holding-history/189266/850674/"
"Marksans Pharma Ltd","MARKSANS","524404","Healthcare","362597477.55","367475000","0.31","1405689","","","/mutual-fund/holding-history/189266/841/"
"SIS Ltd Ordinary Shares","SIS","540673","Industrials","377241091","361877000","0.31","1017508","1017508","New","/mutual-fund/holding-history/189266/57882/"
"Greenply Industries Ltd","GREENPLY","526797","Basic Materials","360989590.5","358827000","0.31","1109031","","","/mutual-fund/holding-history/189266/494/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","360887800","356646000","0.3","251000","-45000","-15.2","/mutual-fund/holding-history/189266/1127/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","381813259.2","349243000","0.3","227921","3800","1.7","/mutual-fund/holding-history/189266/209/"
"Ecos (India) Mobility & Hospitality Ltd","ECOSMOBLTY","544239","Industrials","353672038.2","342119000","0.29","1198482","","","/mutual-fund/holding-history/189266/2571013/"
"Krsnaa Diagnostics Ltd","KRSNAA","543328","Healthcare","353013754.3","335334000","0.29","523837","78764","17.7","/mutual-fund/holding-history/189266/620545/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","331148659.86","331019000","0.28","2161827","","","/mutual-fund/holding-history/189266/878/"
"Aditya Birla Sun Life AMC Ltd","ABSLAMC","543374","Financial Services","317968199.4","308571000","0.26","413053","35160","9.3","/mutual-fund/holding-history/189266/674158/"
"Krishna Institute of Medical Sciences Ltd","KIMS","543308","Healthcare","304776815.9","306885000","0.26","448498","-38113","-7.83","/mutual-fund/holding-history/189266/555690/"
"National Aluminium Co Ltd","NATIONALUM","532234","Basic Materials","317770700","304792000","0.26","1690000","","","/mutual-fund/holding-history/189266/911/"
"KEC International Ltd","KEC","532714","Industrials","328830734.4","303862000","0.26","365043","","","/mutual-fund/holding-history/189266/727/"
"Jyothy Labs Ltd","JYOTHYLAB","532926","Consumer Defensive","292409009.15","302992000","0.26","878237","21976","2.57","/mutual-fund/holding-history/189266/706/"
"Emcure Pharmaceuticals Ltd","EMCURE","544210","Healthcare","298700508.6","297827000","0.25","223947","","","/mutual-fund/holding-history/189266/2393790/"
"RHI Magnesita India Ltd","RHIM","534076","Industrials","331373990.8","294569000","0.25","638978","","","/mutual-fund/holding-history/189266/989/"
"INOX Green Energy Services Ltd","INOXGREEN","543667","Utilities","257476911.06","287404000","0.24","1566066","-245528","-13.55","/mutual-fund/holding-history/189266/1127763/"
"Mahindra Lifespace Developers Ltd","MAHLIFE","532313","Real Estate","295335451.75","282431000","0.24","814157","148920","22.39","/mutual-fund/holding-history/189266/818/"
"J.B. Chemicals & Pharmaceuticals Ltd","JBCHEPHARM","506943","Healthcare","291157884","281275000","0.24","167795","-9000","-5.09","/mutual-fund/holding-history/189266/665/"
"Alicon Castalloy Ltd","ALICON","531147","Industrials","276377678.6","279897000","0.24","310049","1500","0.49","/mutual-fund/holding-history/189266/56/"
"Zee Entertainment Enterprises Ltd","ZEEL","505537","Communication Services","295669386.3","279611000","0.24","2143930","-500000","-18.91","/mutual-fund/holding-history/189266/1537/"
"Quess Corp Ltd","QUESS","539978","Industrials","277061705.7","278705000","0.24","888303","","","/mutual-fund/holding-history/189266/4595/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","259934612.9","263103000","0.22","745546","210000","39.21","/mutual-fund/holding-history/189266/2020/"
"Keystone Realtors Ltd","RUSTOMJEE","543669","Real Estate","262336617.6","258848000","0.22","477888","130000","37.37","/mutual-fund/holding-history/189266/1131322/"
"Ujjivan Small Finance Bank Ltd Ordinary Shares","UJJIVANSFB","542904","Financial Services","285823989.29","254269000","0.22","5909117","","","/mutual-fund/holding-history/189266/175415/"
"Satin Creditcare Network Ltd","SATIN","539404","Financial Services","239849400.58","238455000","0.2","1531801","","","/mutual-fund/holding-history/189266/1768/"
"Concord Enviro Systems Ltd","CEWATER","544315","Utilities","230653416","237155000","0.2","403805","","","/mutual-fund/holding-history/189266/2866112/"
"Innova Captab Ltd","INNOVACAP","544067","Healthcare","233859733","230049000","0.2","261881","","","/mutual-fund/holding-history/189266/1842149/"
"Gulf Oil Lubricants India Ltd","GULFOILLUB","538567","Basic Materials","235214366","228979000","0.19","193036","","","/mutual-fund/holding-history/189266/518/"
"GPT Healthcare Ltd","GPTHEALTH","544131","Healthcare","229196110.36","227803000","0.19","1497818","","","/mutual-fund/holding-history/189266/2056673/"
"GMM Pfaudler Ltd","GMMPFAUDLR","505255","Industrials","221162184","224412000","0.19","198174","16583","9.13","/mutual-fund/holding-history/189266/2213/"
"Steel Strips Wheels Ltd","SSWL","513262","Consumer Cyclical","233745732.61","224049000","0.19","961007","-30000","-3.03","/mutual-fund/holding-history/189266/1290/"
"Rane Holdings Ltd","RANEHOLDIN","505800","Consumer Cyclical","221026910.4","221596000","0.19","146008","","","/mutual-fund/holding-history/189266/1111/"
