"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Laxmi Dental Ltd","LAXMIDENTL","544339","Healthcare","61732327.5","63003000","0.06","160866","","","/mutual-fund/holding-history/189266/2916661/"
"Stl Networks Limit","","","","","61016000","0.06","2359469","2359469","New",""
"Godavari Biorefineries Ltd","GODAVARIB","544279","Basic Materials","92114684.64","59925000","0.06","351261","","","/mutual-fund/holding-history/189266/2729499/"
"Unimech Aerospace And Manufacturing Ltd","UNIMECH","544322","Industrials","68292642.4","58052000","0.06","63688","","","/mutual-fund/holding-history/189266/2868825/"
"KRN Heat Exchanger and Refrigeration Ltd","KRN","544263","Technology","59988768.3","57428000","0.06","79047","20805","35.72","/mutual-fund/holding-history/189266/2656551/"
"Rishabh Instruments Ltd","RISHABH","543977","Technology","54331493.3","45553000","0.04","177961","","","/mutual-fund/holding-history/189266/1650515/"
"UPL Ltd Ordinary Shares (Partly Paid Rs.1)","UPLPP1","890209","Basic Materials","41757710.4","45457000","0.04","100512","","","/mutual-fund/holding-history/189266/2889731/"
"Suryoday Small Finance Bank Ltd","SURYODAY","543279","Financial Services","41510002.52","40082000","0.04","313094","313094","New","/mutual-fund/holding-history/189266/447586/"
"Dam Capital Advisors Ltd","DAMCAPITAL","544316","Financial Services","49628424.72","37977000","0.04","178404","","","/mutual-fund/holding-history/189266/2863353/"
"GNA Axles Ltd","GNA","540124","Consumer Cyclical","39686383.1","37309000","0.04","118573","","","/mutual-fund/holding-history/189266/4710/"
"Butterfly Gandhimathi Appliances Ltd","BUTTERFLY","517421","Consumer Cyclical","39287661.95","31934000","0.03","51013","3000","6.25","/mutual-fund/holding-history/189266/227/"
"Religare Enterprises Ltd","RELIGARE","532915","Financial Services","22336984.29","20304000","0.02","95871","","","/mutual-fund/holding-history/189266/1128/"
"Rainbow Childrens Medicare Ltd","RAINBOW","543524","Healthcare","9573101","9444000","0.01","6835","6835","New","/mutual-fund/holding-history/189266/877862/"
