"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Finolex Cables Ltd","FINCABLES","500144","Industrials","2682982565.8","2858968000","0.43","2918506","","","/mutual-fund/holding-history/10901/416/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","1724959038","2746277000","0.41","17737368","","","/mutual-fund/holding-history/10901/878/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","2703184098.6","2717481000","0.41","3574222","","","/mutual-fund/holding-history/10901/606/"
"Kaynes Technology India Ltd","KAYNES","543664","Industrials","2537665219","2671573000","0.4","438322","","","/mutual-fund/holding-history/10901/1124672/"
"JTEKT India Ltd","JTEKTINDIA","520057","Consumer Cyclical","2627748606.34","2670878000","0.4","18352763","3923631","27.19","/mutual-fund/holding-history/10901/1266/"
"Linde India Ltd","LINDEINDIA","523457","Basic Materials","2641000000","2662200000","0.4","400000","","","/mutual-fund/holding-history/10901/791/"
"CARE Ratings Ltd","CARERATING","534804","Financial Services","2683828620.6","2640853000","0.4","1476822","","","/mutual-fund/holding-history/10901/240/"
"Honda India Power Products Ltd","HONDAPOWER","522064","Industrials","2679447931","2638738000","0.4","894730","","","/mutual-fund/holding-history/10901/570/"
"PG Electroplast Ltd","PGEL","533581","Technology","2724598312","2604659000","0.39","3451480","","","/mutual-fund/holding-history/10901/1031/"
"RITES Ltd Ordinary Shares","RITES","541556","Industrials","2528620000","2576000000","0.39","9200000","","","/mutual-fund/holding-history/10901/92280/"
"Praj Industries Ltd","PRAJIND","522205","Industrials","2492015449.2","2570570000","0.39","5051724","","","/mutual-fund/holding-history/10901/1061/"
"Gujarat Fluorochemicals Ltd Ordinary Shares","FLUOROCHEM","542812","Basic Materials","2476017845.4","2533158000","0.38","697686","","","/mutual-fund/holding-history/10901/169265/"
"Craftsman Automation Ltd","CRAFTSMAN","543276","Consumer Cyclical","2982374877","2529241000","0.38","454042","38000","9.13","/mutual-fund/holding-history/10901/445359/"
"Century Plyboards (India) Ltd","CENTURYPLY","532548","Basic Materials","2388557764.8","2488593000","0.37","3274464","","","/mutual-fund/holding-history/10901/252/"
