"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Rolex Rings Ltd","ROLEXRINGS","543325","Industrials","552344292.9","620125000","0.39","386877","","","https://trendlyne.com/mutual-fund/holding-history/20566/612873/"
"UNO Minda Ltd","UNOMINDA","532539","Consumer Cyclical","737321306.4","601089000","0.37","597118","","","https://trendlyne.com/mutual-fund/holding-history/20566/864/"
"Aster DM Healthcare Ltd Ordinary Shares","ASTERDM","540975","Healthcare","641836020","584133000","0.36","1044400","1044400","New","https://trendlyne.com/mutual-fund/holding-history/20566/77534/"
"Safari Industries (India) Ltd","SAFARI","523025","Consumer Cyclical","479801725","549498000","0.34","238115","","","https://trendlyne.com/mutual-fund/holding-history/20566/2912/"
"Nitin Spinners Ltd","NITINSPIN","532698","Consumer Cyclical","464420546.7","508533000","0.32","1305102","","","https://trendlyne.com/mutual-fund/holding-history/20566/948/"
"Hindustan Foods Ltd","HNDFDS","519126","Industrials","414117605.55","425462000","0.26","777029","183225","30.86","https://trendlyne.com/mutual-fund/holding-history/20566/2794/"
"Delhivery Ltd","DELHIVERY","543529","Industrials","522921000","397380000","0.25","1110000","1110000","New","https://trendlyne.com/mutual-fund/holding-history/20566/888524/"
"Hi-Tech Pipes Ltd","HITECH","543411","Basic Materials","359071807.32","389239000","0.24","4082217","","","https://trendlyne.com/mutual-fund/holding-history/20566/87816/"
"Happy Forgings Ltd","HAPPYFORGE","544057","Industrials","365849493.75","374630000","0.23","385125","","","https://trendlyne.com/mutual-fund/holding-history/20566/1833301/"
"Wim Plast Ltd","","526586","Consumer Cyclical","221830026.55","240383000","0.15","457523","","","https://trendlyne.com/mutual-fund/holding-history/20566/3163/"
"LMW Ltd","LMW","500252","Industrials","196791543","212950000","0.13","12753","-24500","-65.77","https://trendlyne.com/mutual-fund/holding-history/20566/785/"
"Sterling Tools Ltd","STERTOOLS","530759","Industrials","192954157.6","192835000","0.12","597104","-363141","-37.82","https://trendlyne.com/mutual-fund/holding-history/20566/1296/"
"IIFL Capital Services Ltd Ordinary Shares","IIFLCAPS","542773","Financial Services","183899171.45","173935000","0.11","569083","","","https://trendlyne.com/mutual-fund/holding-history/20566/166182/"
