"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"JK Lakshmi Cement Ltd","JKLAKSHMI","500380","Basic Materials","1000280661.3","1032598000","0.16","1063054","","","https://trendlyne.com/mutual-fund/holding-history/10906/685/"
"Honeywell Automation India Ltd","HONAUT","517174","Industrials","1013926305","1029460000","0.16","26553","","","https://trendlyne.com/mutual-fund/holding-history/10906/569/"
"PNC Infratech Ltd","PNCINFRA","539150","Industrials","1023418333.8","1028342000","0.16","3282291","","","https://trendlyne.com/mutual-fund/holding-history/10906/1717/"
"Mishra Dhatu Nigam Ltd Ordinary Shares","MIDHANI","541195","Basic Materials","1033080825","1023113000","0.16","2589175","","","https://trendlyne.com/mutual-fund/holding-history/10906/80900/"
"Go Fashion (India) Ltd","GOCOLORS","543401","Consumer Cyclical","848341765.8","1007501000","0.15","1223364","","","https://trendlyne.com/mutual-fund/holding-history/10906/728986/"
"Campus Activewear Ltd","CAMPUS","543523","Consumer Cyclical","1000247020","997821000","0.15","3732265","","","https://trendlyne.com/mutual-fund/holding-history/10906/877863/"
"RHI Magnesita India Ltd","RHIM","534076","Industrials","993675340.8","994072000","0.15","1984176","","","https://trendlyne.com/mutual-fund/holding-history/10906/989/"
"Blue Dart Express Ltd","BLUEDART","526612","Industrials","954337806","979587000","0.15","163428","","","https://trendlyne.com/mutual-fund/holding-history/10906/208/"
"Kirloskar Ferrous Industries Ltd","","500245","Industrials","852023396.3","932789000","0.14","1532554","","","https://trendlyne.com/mutual-fund/holding-history/10906/2056/"
"Archean Chemical Industries Ltd","ACI","543657","Basic Materials","952228169.55","913018000","0.14","1373373","","","https://trendlyne.com/mutual-fund/holding-history/10906/1121044/"
"KPIT Technologies Ltd","KPITTECH","542651","Technology","902510666","911729000","0.14","743419","","","https://trendlyne.com/mutual-fund/holding-history/10906/141324/"
"Fineotex Chemical Ltd","FCL","533333","Basic Materials","863585014.5","888624000","0.13","3406647","","","https://trendlyne.com/mutual-fund/holding-history/10906/1562/"
"Piramal Enterprises Ltd","PEL","500302","Financial Services","831447492.6","883386000","0.13","705693","705693","New","https://trendlyne.com/mutual-fund/holding-history/10906/1019/"
"Raymond Realty Ltd","RAYMONDREL","544420","Real Estate","813591351","853961000","0.13","1238343","","","https://trendlyne.com/mutual-fund/holding-history/10906/3157935/"
"SIS Ltd Ordinary Shares","SIS","540673","Industrials","786793565.25","843906000","0.13","2184021","-6129","-0.28","https://trendlyne.com/mutual-fund/holding-history/10906/57882/"
"Venus Pipes & Tubes Ltd","VENUSPIPES","543528","Basic Materials","795960000","838500000","0.13","600000","","","https://trendlyne.com/mutual-fund/holding-history/10906/877861/"
"Stanley Lifestyles Ltd","STANLEY","544202","Consumer Cyclical","780689462.4","831859000","0.13","2526912","","","https://trendlyne.com/mutual-fund/holding-history/10906/2350518/"
"Raymond Ltd","RAYMOND","500330","Industrials","807151967.4","827956000","0.13","1238343","","","https://trendlyne.com/mutual-fund/holding-history/10906/1115/"
"Subros Ltd","SUBROS","517168","Consumer Cyclical","836573184","827956000","0.13","968256","","","https://trendlyne.com/mutual-fund/holding-history/10906/1302/"
"Indoco Remedies Ltd","INDOCO","532612","Healthcare","731795365.95","824681000","0.13","2594559","","","https://trendlyne.com/mutual-fund/holding-history/10906/614/"
"Premier Energies Ltd","PREMIERENE","544238","Technology","826907130","822207000","0.12","796635","","","https://trendlyne.com/mutual-fund/holding-history/10906/2571009/"
"Equitas Small Finance Bank Ltd Ordinary Shares","EQUITASBNK","543243","Financial Services","741437657.45","799592000","0.12","13492951","","","https://trendlyne.com/mutual-fund/holding-history/10906/325199/"
"Landmark Cars Ltd","LANDMARK","543714","Consumer Cyclical","818522980","749809000","0.11","1510190","","","https://trendlyne.com/mutual-fund/holding-history/10906/1241144/"
"Bajel Projects Ltd","BAJEL","544042","Utilities","677066998.8","746476000","0.11","3152081","","","https://trendlyne.com/mutual-fund/holding-history/10906/1845603/"
"Divgi TorqTransfer Systems Ltd","DIVGIITTS","543812","Consumer Cyclical","779424805.5","738785000","0.11","1152910","","","https://trendlyne.com/mutual-fund/holding-history/10906/1381687/"
"Polyplex Corp Ltd","POLYPLEX","524051","Basic Materials","693154421.4","737668000","0.11","657517","","","https://trendlyne.com/mutual-fund/holding-history/10906/1054/"
"Seamec Ltd","SEAMECLTD","526807","Industrials","782960461","725674000","0.11","911479","","","https://trendlyne.com/mutual-fund/holding-history/10906/1198/"
"JK Tyre & Industries Ltd","JKTYRE","530007","Consumer Cyclical","683646450.3","694424000","0.11","2072598","","","https://trendlyne.com/mutual-fund/holding-history/10906/687/"
"IndiaMART InterMESH Ltd","INDIAMART","542726","Communication Services","679749000","670479000","0.1","258952","","","https://trendlyne.com/mutual-fund/holding-history/10906/149049/"
"Bata India Ltd","BATAINDIA","500043","Consumer Cyclical","636013581.2","668210000","0.1","560908","203156","56.79","https://trendlyne.com/mutual-fund/holding-history/10906/168/"
"Apeejay Surrendra Park Hotels Ltd","PARKHOTELS","544111","Consumer Cyclical","652089212.4","659964000","0.1","4256457","","","https://trendlyne.com/mutual-fund/holding-history/10906/1985406/"
"Pokarna Ltd","POKARNA","532486","Industrials","651378451.15","642443000","0.1","689983","-48662","-6.59","https://trendlyne.com/mutual-fund/holding-history/10906/3854/"
"Sanathan Textiles Ltd","SANATHAN","544314","Consumer Cyclical","629135606","638896000","0.1","1243351","","","https://trendlyne.com/mutual-fund/holding-history/10906/2863354/"
"Cyient DLM Ltd","CYIENTDLM","543933","Technology","555841507.5","565514000","0.09","1256139","","","https://trendlyne.com/mutual-fund/holding-history/10906/1513580/"
"Aditya Birla Fashion and Retail Ltd","ABFRL","535755","Consumer Cyclical","591088310.38","565109000","0.09","7755029","","","https://trendlyne.com/mutual-fund/holding-history/10906/1029/"
"3M India Ltd","3MINDIA","523395","Industrials","561008340","557834000","0.08","18138","","","https://trendlyne.com/mutual-fund/holding-history/10906/10/"
