"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"CreditAccess Grameen Ltd Ordinary Shares","CREDITACC","541770","Financial Services","1566782371","1452991000","0.25","1334795","","","/mutual-fund/holding-history/10901/100478/"
"UTI Asset Management Co Ltd","UTIAMC","543238","Financial Services","1710755232.4","1444597000","0.25","1417244","","","/mutual-fund/holding-history/10901/305194/"
"NIIT Ltd","NIITLTD","500304","Consumer Defensive","1511327197.32","1439216000","0.25","11111066","","","/mutual-fund/holding-history/10901/941/"
"FSN E-Commerce Ventures Ltd","NYKAA","543384","Consumer Cyclical","1406704829.04","1359425000","0.23","6994008","","","/mutual-fund/holding-history/10901/705188/"
"Vesuvius India Ltd","VESUVIUS","520113","Industrials","1642464000","1337155000","0.23","288000","","","/mutual-fund/holding-history/10901/1475/"
"ACME Solar Holdings Ltd","ACMESOLAR","544283","Utilities","1562736467.76","1328539000","0.23","6350264","794363","14.3","/mutual-fund/holding-history/10901/2759890/"
"MTAR Technologies Ltd","MTARTECH","543270","Industrials","1527605005.2","1316348000","0.23","926158","","","/mutual-fund/holding-history/10901/436155/"
"Lumax Auto Technologies Ltd","LUMAXTECH","532796","Consumer Cyclical","1713750000","1302375000","0.22","2500000","","","/mutual-fund/holding-history/10901/803/"
"Vindhya Telelinks Ltd","VINDHYATEL","517015","Industrials","1588826623.2","1286458000","0.22","975698","","","/mutual-fund/holding-history/10901/1486/"
"Vedant Fashions Ltd","MANYAVAR","543463","Consumer Cyclical","1243441175","1273406000","0.22","1628500","","","/mutual-fund/holding-history/10901/816269/"
"Sanofi India Ltd","SANOFI","500674","Healthcare","1328141348","1271754000","0.22","213992","","","/mutual-fund/holding-history/10901/1182/"
"Data Patterns (India) Ltd","DATAPATTNS","543428","Industrials","1431017079.8","1264613000","0.22","508571","","","/mutual-fund/holding-history/10901/755079/"
"Automotive Axles Ltd","AUTOAXLES","505010","Consumer Cyclical","1351687491","1257532000","0.22","759930","","","/mutual-fund/holding-history/10901/135/"
"Union Bank of India","UNIONBANK","532477","Financial Services","1391367218.22","1240387000","0.21","9861558","","","/mutual-fund/holding-history/10901/1447/"
"G R Infraprojects Ltd","GRINFRA","543317","Industrials","1538919288","1236495000","0.21","1191114","","","/mutual-fund/holding-history/10901/577216/"
"TTK Prestige Ltd","TTKPRESTIG","517506","Consumer Cyclical","1294638730.5","1215766000","0.21","2004395","124000","6.59","/mutual-fund/holding-history/10901/1421/"
"KEC International Ltd","KEC","532714","Industrials","1491488955.6","1208492000","0.21","1730868","","","/mutual-fund/holding-history/10901/727/"
"Orient Cement Ltd","ORIENTCEM","535754","Basic Materials","1192814014.4","1189074000","0.2","3400268","","","/mutual-fund/holding-history/10901/985/"
"Can Fin Homes Ltd","CANFINHOME","511196","Financial Services","1274383713","1175893000","0.2","1644260","24299","1.5","/mutual-fund/holding-history/10901/234/"
"Sonata Software Ltd","SONATSOFTW","532221","Technology","1094943840","1150339000","0.2","2728832","","","/mutual-fund/holding-history/10901/1267/"
"Birlasoft Ltd","BSOFT","532400","Technology","1205597349","1132188000","0.2","2901558","","","/mutual-fund/holding-history/10901/763/"
"Rainbow Childrens Medicare Ltd","RAINBOW","543524","Healthcare","1099542430.6","1084705000","0.19","785051","","","/mutual-fund/holding-history/10901/877862/"
"L.G.Balakrishnan & Bros Ltd","LGBBROSLTD","500250","Consumer Cyclical","1188930071","1063311000","0.18","890918","","","/mutual-fund/holding-history/10901/787/"
"Sanofi Consumer Healthcare India Ltd","SANOFICONR","544250","Healthcare","1080402809.6","1057120000","0.18","213992","","","/mutual-fund/holding-history/10901/2638456/"
"LMW Ltd","LMW","500252","Industrials","1125264411","1045021000","0.18","64041","18000","39.1","/mutual-fund/holding-history/10901/785/"
"Max Estates Ltd","MAXESTATES","544008","Real Estate","1268912512.45","1027155000","0.18","2510461","","","/mutual-fund/holding-history/10901/1771763/"
"Blue Dart Express Ltd","BLUEDART","526612","Industrials","1113353250","1013744000","0.17","163428","","","/mutual-fund/holding-history/10901/208/"
"Sudarshan Chemical Industries Ltd","SUDARSCHEM","506655","Basic Materials","1068306350","993224000","0.17","969425","","","/mutual-fund/holding-history/10901/1304/"
"Sumitomo Chemical India Ltd Ordinary Shares","SUMICHEM","542920","Basic Materials","955979360","966238000","0.17","1899800","","","/mutual-fund/holding-history/10901/182906/"
"Fineotex Chemical Ltd","FCL","533333","Basic Materials","976465226.52","960702000","0.17","4041828","","","/mutual-fund/holding-history/10901/1562/"
"Raymond Lifestyle Ltd","RAYMONDLSL","544240","Consumer Cyclical","1074633621.5","953227000","0.16","990674","","","/mutual-fund/holding-history/10901/2613901/"
"Sandhar Technologies Ltd Ordinary Shares","SANDHAR","541163","Consumer Cyclical","1292150239.5","950216000","0.16","2562265","","","/mutual-fund/holding-history/10901/80794/"
"KPIT Technologies Ltd","KPITTECH","542651","Technology","988598586.2","931950000","0.16","743419","","","/mutual-fund/holding-history/10901/141324/"
"Honeywell Automation India Ltd","HONAUT","517174","Industrials","1012465890","916610000","0.16","26553","","","/mutual-fund/holding-history/10901/569/"
