"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Sanofi India Ltd","SANOFI","500674","Healthcare","377841832","407209000","0.14","63911","","","/mutual-fund/holding-history/6125/1182/"
"Taj GVK Hotels & Resorts Ltd","TAJGVK","532390","Consumer Cyclical","384048951.3","374011000","0.13","916694","","","/mutual-fund/holding-history/6125/1345/"
"Mahindra Holidays & Resorts India Ltd","MHRIL","533088","Consumer Cyclical","360337996.6","337451000","0.11","999412","","","/mutual-fund/holding-history/6125/860/"
"Indian Hume Pipe Co Ltd","INDIANHUME","504741","Industrials","333438229.5","334861000","0.11","769177","","","/mutual-fund/holding-history/6125/611/"
"Sai Silks (Kalamandir) Ltd","KALAMANDIR","543989","Consumer Cyclical","363791942.55","319515000","0.11","2095455","","","/mutual-fund/holding-history/6125/1698176/"
"Chambal Fertilisers & Chemicals Ltd","CHAMBLFERT","500085","Basic Materials","279139177.7","286202000","0.1","506329","","","/mutual-fund/holding-history/6125/258/"
"Digitide Solutions Ltd","","544413","Industrials","382408526.6","279544000","0.09","1425302","1425302","New","/mutual-fund/holding-history/6125/3135582/"
"Stanley Lifestyles Ltd","STANLEY","544202","Consumer Cyclical","234546232.5","232125000","0.08","672534","128688","23.66","/mutual-fund/holding-history/6125/2350518/"
"Best Agrolife Ltd","","539660","Basic Materials","237950000","177675000","0.06","500000","","","/mutual-fund/holding-history/6125/4331/"
"Primo Chemicals Ltd Shs Dematerialised","","506852","Basic Materials","127321518.28","117296000","0.04","4556962","","","/mutual-fund/holding-history/6125/2300/"
"HP Adhesives Ltd","HPAL","543433","Basic Materials","59945338.65","61247000","0.02","1183521","-681595","-36.54","/mutual-fund/holding-history/6125/752901/"
"Laxmi Dental Ltd","LAXMIDENTL","544339","Healthcare","67148640","60777000","0.02","139893","3833","2.82","/mutual-fund/holding-history/6125/2916661/"
"Om Infra Ltd","OMINFRAL","531092","Industrials","17643066.21","18829000","0.01","140571","","","/mutual-fund/holding-history/6125/971/"
